cue,R1,R1.Strength
man,male,0.0606060606060606
world,earth,0.21
war,peace,0.19
end,final,0.07
car,drive,0.09
back,forward,0.0808080808080808
line,straight,0.25
face,eyes,0.07
right,correct,0.17
eye,see,0.15
name,title,0.13265306122449
room,bed,0.101010101010101
home,heart,0.07
health,happiness,0.06
world,view,0.07
study,hard,0.06
end,beginning,0.13
city,urban,0.05
morning,afternoon,0.0606060606060606
story,teller,0.05
friend,pal,0.09
force,push,0.101010101010101
people,friends,0.05
member,belong,0.05
head,top,0.0918367346938776
month,January,0.05
life,death,0.247422680412371
guy,gal,0.16
car,auto,0.15
face,nose,0.08
history,lesson,0.06
eye,glasses,0.07
name,me,0.0816326530612245
community,town,0.09
problem,solution,0.181818181818182
friend,foe,0.1
point,finger,0.16
door,knob,0.08
team,player,0.14
night,sleep,0.05
law,legal,0.0505050505050505
month,calendar,0.05
kind,type,0.14
year,annual,0.07
water,wet,0.0909090909090909
car,automobile,0.11
law,rule,0.131313131313131
result,product,0.0606060606060606
hand,left,0.07
day,light,0.12
book,mark,0.05
part,section,0.0909090909090909
back,spine,0.0606060606060606
eye,sight,0.07
lot,much,0.06
system,organization,0.111111111111111
question,mark,0.141414141414141
result,answer,0.101010101010101
family,love,0.12
study,learn,0.16
way,out,0.05
research,science,0.06
kid,goat,0.161616161616162
change,alter,0.13
money,cash,0.26
car,vehicle,0.09
body,mind,0.1
thing,object,0.204081632653061
game,fun,0.08
work,hard,0.0808080808080808
person,human,0.214285714285714
level,flat,0.09
point,pencil,0.07
moment,now,0.1
place,location,0.122448979591837
air,breath,0.08
door,entry,0.05
community,neighborhood,0.07
country,USA,0.06
party,fun,0.17
group,friends,0.05
hand,foot,0.09
reason,logic,0.11
guy,male,0.05
lot,a,0.05
head,hair,0.0714285714285714
system,computer,0.111111111111111
company,corporation,0.09
country,nation,0.08
city,London,0.06
service,customer,0.05
problem,solve,0.111111111111111
story,telling,0.05
home,sweet,0.05
day,today,0.05
man,human,0.0505050505050505
idea,think,0.0606060606060606
morning,noon,0.0505050505050505
office,space,0.05
water,lake,0.0606060606060606
kind,gentle,0.14
number,digit,0.0606060606060606
people,persons,0.07
door,window,0.14
hand,fingers,0.06
place,here,0.0510204081632653
time,watch,0.0606060606060606
power,strong,0.05
parent,mom,0.09
air,oxygen,0.08
body,soul,0.05
question,query,0.0808080808080808
case,file,0.05
thing,item,0.142857142857143
office,desk,0.09
water,liquid,0.111111111111111
problem,difficulty,0.0505050505050505
student,learner,0.15
side,next,0.0515463917525773
job,employment,0.0918367346938776
art,painting,0.16
work,labor,0.0606060606060606
health,wellness,0.07
school,learn,0.07
study,hall,0.07
party,hearty,0.06
mother,love,0.07
minute,tiny,0.06
power,hungry,0.05
change,different,0.05
member,club,0.07
reason,excuse,0.07
state,nation,0.0707070707070707
war,battle,0.06
idea,light bulb,0.0707070707070707
fact,true,0.0918367346938776
question,ask,0.131313131313131
morning,dawn,0.0606060606060606
health,doctor,0.05
war,blood,0.05
side,ways,0.0721649484536082
force,Star Wars,0.0505050505050505
line,draw,0.05
way,route,0.08
art,picture,0.06
people,crowd,0.05
person,individual,0.0714285714285714
issue,topic,0.05
power,electricity,0.07
result,outcome,0.0909090909090909
number,count,0.0909090909090909
air,atmosphere,0.06
end,stop,0.07
friend,buddy,0.09
art,craft,0.05
door,opening,0.06
body,corpus,0.06
state,say,0.0808080808080808
woman,lady,0.05
business,enterprise,0.06
war,fight,0.07
point,shoot,0.05
job,task,0.0510204081632653
case,box,0.07
friend,enemy,0.13
student,learn,0.05
head,brain,0.0510204081632653
student,pupil,0.06
money,dollars,0.05
group,association,0.05
name,moniker,0.0612244897959184
research,paper,0.06
number,quantity,0.0505050505050505
power,might,0.06
lot,parking,0.05
school,days,0.06
money,currency,0.05
level,high,0.05
government,big,0.05
teacher,mentor,0.0505050505050505
education,university,0.06
information,data,0.181818181818182
president,Obama,0.29
information,news,0.0707070707070707
president,leader,0.17
information,knowledge,0.131313131313131
others,them,0.151515151515152
program,code,0.0618556701030928
others,friends,0.0505050505050505
education,knowledge,0.05
education,smart,0.08
government,politics,0.07
program,computer,0.34020618556701
teacher,educator,0.0505050505050505
information,internet,0.0606060606060606
teacher,professor,0.0606060606060606
