cue,R1
man,human
time,line
hand,job
family,and friends
year,school
day,period
problem,thorny
life,death
thing,vague
state,government
child,boy
world,view
place,home
place,position
case,study
woman,man
student,read
week,end
student,learner
company,friendship
part,play
part,music
part,some
way,path
man,woman
way,road
group,combine
group,clique
way,no way
man,woman
man,bloke
way,down
way,path
hand,limb
country,land
woman,female
year,born
year,annual
life,vitality
case,suitcase
life,
state,declare
child,boy
time,age
week,time
people,folks
thing,something
day,night
people,folk
day,rehabilitation
school,mar
day,light
problem,inquire
family,siblings
system,computer
family,relatives
system,operations
family,kids
problem,opportunity
problem,answer
system,organization
world,round
system,connected whole
world,earth
problem,solution
family,mom
world,globe
world,after ten
world,earth
system,network
school,place
student,learner
time,was
child,girl
woman,female
company,gregarious
place,card
hand,face
hand,tool
case,briefcase
country,homeland
country,upset
country,geography
country,mine
country,nation
country,USA
country,town
country,US
child,psychology
case,sensitive
time,hour
time,minute
school,ties
state,say
time,fast
place,space
school,student
place,site
woman,me
student,university
year,ad
woman,lady
people,person
woman,lady
student,learner
thing,object
place,location
company,business
woman,female
week,seven days
thing,phrase
thing,item
thing,item
thing,sure
life,exist
man,he
life,death
group,gathering
man,woman
year,seasons
hand,right
child,parent
company,group
company,organization
child,infant
year,2011
student,learner
day,night
people,lonely
people,carrier
week,day
group,meeting
people,masses
state,mind
part,separate
people,folks
people,are strange
part,particle
hand,arthritis
part,time
state,rights
hand,left
hand,fingers
group,ensemble
state,of war
state,say
state,hood
state,of
hand,arm
hand,heart
child,baby
school,education
case,box
man,woman
problem,no
system,complex
school,high
man,boy
family,mom
system,way
day,today
life,viable
week,work
year,date
world,global
time,hour
week,paper
student,learner
world,sphere
year,age
family,gathering
year,date
life,great
student,learn
family,dog
family,mom
family,kids
family,parents
family,values
year,age
problem,child
time,out
way,out
day,calendar
company,corporation
place,home
case,violin
way,path
company,corporation
child,adult
woman,man
day,night
day,night
problem,worry
group,gang
day,today
thing,penis
life,unique
day,light
place,fire
life,death
system,systemic
life,living
child,kid
man,woman
life,death
place,location
part,hair
problem,difficult
thing,item
system,way
problem,solver
man,hood
world,globe
group,people
problem,math
group,order
woman,man
problem,solve
world,war
woman,man
world,earth
world,planet
school,education
part,whole
part,theater
week,days
school,book
child,little
week,work
case,holder
company,business
way,street or route
company,army
child,kid
way,method
case,valise
time,ages
company,companions
company,consolidated
company,guests
company,calling
way,manner
case,box
time,watch
time,minute
time,now
time,hour
time,flies
system,decimal
place,plane
woman,body
people,folk
system,down
place,home
year,season
student,pupil
student,young
year,end
woman,man
man,trap
man,woman
place,site
place,location
place,people
year,annum
year,annual
thing,
thing,object
thing,object
thing,item
thing,object
thing,object
thing,each
thing,item
thing,some
school,law
thing,something
thing,gadget
thing,hair
thing,object
thing,stuff
people,friends
thing,object
thing,item
student,studying
country,south
week,time
school,bus
school,answer
group,support
group,association
week,seven days
student,one who is taught
week,weak
country,state
hand,foot
country,America
country,rural
hand,feed
hand,fingers
country,home
hand,play
country,open
people,person
group,several
part,section
life,death
day,24 hours
state,proclaim
way,forward
day,sunrise
case,box
woman,female
system,analysis
world,earth
man,woman
man,woman
child,napper
man,woman
system,method
way,path
man,woman
man,attend
system,organization
day,night
world,earth
system,route
system,computer
day,daylight
child,baby
day,light
child,baby
system,way
case,worker
case,jury
system,complex
system,computer
day,night
case,detective
day,Sunday
child,tot
system,organization
case,survey
day,light
case,ligature
system,half
system,digestive
system,library
case,study
case,file
case,study
system,failure
system,dos
people,person
part,hair
part,of
problem,avoiding
part,whole
part,section
problem,issue
problem,difficulty
part,separate
problem,solve
problem,solved
part,some
problem,worry
part,piece
problem,challenge
problem,stuck
part,book
problem,question
part,leave
problem,trouble
part,piece
problem,equation
problem,math
part,piece
problem,solved
part,piece
part,whole
problem,solution
problem,solve
part,car
problem,issue
part,piece
part,engine
problem,solve
part,actor
problem,situation
problem,solution
part,separate
problem,solve
part,piece
life,existence
group,collaborate
family,parents
week,day
family,friends
people,humans
woman,girl
woman,man
family,wife
group,friends
week,work
week,seven
group,party
group,games
people,person
group,herd
people,hate
family,values
company,guest
world,earth
company,friend
place,where
school,bus
company,party
world,geography
life,vitality
company,friends
life,after
life,death
way,road
life,death
life,long
life,force
way,street
life,green
way,to
way,back
way,route
way,Appian
way,go
student,neophyte
school,college
hand,palm
hand,manual dexterity
woman,man
time,
time,flies
woman,girl
time,hour
time,flies
woman,female
school,teach
country,tis of the
year,one
state,aver
place,spot
week,seven
year,one
country,United States
world,earth
place,town
state,exclaim
state,nation
student,learn
student,child
student,undergraduate
child,middle
family,child
child,young person
child,infant
man,woman
child,less
family,mum
man,dad
child,kid
man,homo
man,adult male
child,toddler
family,flock
man,woman
world,earth
world,view
world,earth
year,day
year,days
country,political domain
place,home
group,think
school,smart
group,people
company,visitors
school,Ecole
school,learn
woman,female
people,human
people,populate
country,landscape
woman,lady
group,plain
group,friends
people,friends
woman,female
company,business
woman,female
group,number
group,think
company,guest
group,scouts
group,field
week,month
week,work
week,day
week,day
week,year
week,seven
week,today
place,home
week,fifty-two
week,work
week,seven
week,period
week,day
day,night
week,work
day,night
week,days
student,loan
week,day
week,seven days
hand,poker
week,bi
week,seven days
day,night
week,work
hand,signals
week,day
place,location
hand,left
student,pupil
hand,write
state,border
state,say
state,New Jersey
state,the obvious
state,verbalize
state,assert
country,pasture
time,clock
family,love
year,time
year,birth
family,brothers
country,bumpkin
time,clock
family,dynamic
country,nation
country,home
time,clock
time,clock
time,up
time,in a bottle
student,desk
school,education
company,firm
school,days
school,uniform
school,building
company,CEO
school,books
life,live
life,matters
place,home
place,
life,
life,death
place,city
life,death
place,home
place,site
life,existence
place,time
life,cherries
place,time
place,put
place,go
world,earth
day,light
day,night
world,wide
day,daytime
day,night
day,night
people,humans
day,sun
people,crowds
year,time
man,woman
people,humans
student,pupil
year,end
woman,"mary, mother of Jesus"
family,love
family,nuclear
family,love
student,child
year,to-date
woman,female
student,work
way,road
way,where
hand,thumb
hand,foot
world,earth
man,hole
man,woman
world,globe
company,store
company,corporation
company,b
company,threes
child,little person
child,adult
woman,female
way,my
country,land
way,how
country,serene
country,us
country,US
woman,birth
case,court
case,sensitive
woman,female
student,learner
student,learner
year,month
state,Alabama
student,exam
people,Homo Sapiens
year,1976
system,organization
system,organization
family,ties
system,working together
family,emotion
people,family
people,group
people,vote
family,time
people,man
family,member
family,mother
family,relatives
group,project
case,instance
family,relations
way,street
group,some
man,human
school,building
man,woman
hand,job
school,college
man,mensch
child,human
way,ward
state,Washington
case,suitcase
state,say
hand,finger
man,strong
man,woman
man,male
way,route
man,person
hand,digits
hand,fingers
child,children
state,North Carolina
world,peace
hand,job
hand,give
world,dying
world,sphere
world,view
world,globe
world,round
world,war
world,map
world,globe
world,la mode
world,peace
world,view
world,earth
world,globe
world,globe
year,progression
woman,strong
woman,female
thing,object
year,month
thing,crux
thing,anything
woman,wife
thing,object
year,time
woman,female
woman,man
child,son
time,clock
child,baby
group,people
life,fulfillment
system,mechanism
day,24 hours
system,team
case,file
school,old
group,individual
time,waste
group,circle
school,bricks
group,meeting
student,teacher
country,map
case,study
student,learning
country,America
day,night
day,night
student,school
student,teacher
country,nation
student,teacher
country,nation
student,pupil
life,light
life,awesome
state,America
state,country
life,long
state,say
life,death
state,country
place,mat
case,Sherlock Holmes
place,palace
school,building
year,annual
time,over
time,passes
year,time
company,friend
time,hour
place,home
system,vehicle
school,days
school,education
system,computer
system,manner
company,friends
system,plan
company,troop
system,organization
company,group
system,plan
company,manufacture
company,squad
company,business
company,organization
company,thief
child,school
way,one
child,wee
child,pinafore
thing,item
thing,amobob
thing,inanimate
people,friendly
people,men
hand,finger
woman,man
part,ways
country,nation
hand,give
country,home
case,police
way,farer
part,component
case,hardened
group,collective
case,suitcase
group,people
case,legal
case,study
group,cluster
way,route
way,path
way,which
way,path
way,method
time,clock
school,pupil
state,Washington
man,woman
time,limit
family,clutch
man,woman
time,era
state,say
part,two
state,explain
year,long
state,region
day,sunshine
year,age
state,mind
state,California
day,noon
place,home
child,mother
place,set
people,politics
country,hills
hand,fingers
country,nature
student,learner
hand,to mouth
school,children
thing,it
student,pupil
family,tree
student,pupil
woman,lady
woman,man
woman,sex
family,kin
family,minded
child,joy
child,wild
child,son
group,people
year,time
people,persons
group,aggregate
people,man
school,days
school,early
man,woman
man,husband
life,free
time,clock
part,piece
time,think
day,night
thing,a ww ii car
life,living
thing,object
place,snow
thing,ting
year,book
year,date
year,time
place,location
place,location
life,saver
family,mom
group,set
family,comes
people,crowd
hand,help
problem,difficulty
case,container
school,work
case,notes
case,study
country,land
part,piece
country,land
man,woman
country,Australia
country,farm
part,time
part,hair
part,goodbye
school,acumen
time,about
student,learner
problem,hindrance
problem,
problem,solution
child,kid
woman,female
child,aneesh
child,young person
life,death
people,tortoise
life,meaning
people,others
woman,female
people,crowd
system,processing
system,order
way,path
state,nation
time,minute
state,insanity
group,team
family,relatives
group,gathering
day,night
man,woman
family,happy
school,tie
life,vitality
way,exit
time,measure
year,annual
man,woman
time,clock
student,scholar
school,learn
woman,female
way,path
system,computer
family,friends
company,three's
school,class
family,mother
people,multitude
woman,man
year,birth
student,school
state,county
state,physical condition of something
group,collection
thing,item
place,site
thing,object
man,woman
part,of
man,of the house
man,husband
thing,cousin it
place,name
place,square
life,day
child,children
child,parent
child,infant
child,mother
life,line
child,birth
system,organization
life,eternal
woman,female
system,body
day,light
student,driver
problem,trouble
part,hair
problem,easy
student,learn
people,person
group,cluster
people,human
time,measure
student,learning
country,paisano
time,out
way,method
company,work
company,work
company,manager
company,business
family,love
case,suit
part,section
day,light
school,days
year,annual
way,road
school,work
part,my
state,of agitation
woman,man
hand,tool
hand,ball
woman,girl
woman,female
system,procedure
group,collective
case,study
thing,some
family,love
state,condition
day,diurnal
time,illusion
day,bright
man,male
man,gender
year,old
country,Spain
way,no way
way,path
way,out
country,place
place,name
place,location
family,ties
student,visa
thing,object
life,alive
state,current condition
group,categorize
year,new
people,persons
world,global
life,vitality
life,joy
world,large
part,two
part,separate
part,divide
case,instance
part,hair
world,planet
school,study
school,elementary
case,study
school,days
school,academy
school,learn
school,homework
case,bank
school,learning
case,box
school,children
school,education
case,worker
school,study
case,study
country,peaceful
child,small
woman,adult
child,boy
people,many
year,sun
man,woman
child,little
state,Maryland
year,365 days
system,scheme
year,annum
people,humans
company,guest
year,calendar
state,mention
family,tree
place,where
woman,curvy
day,morning
place,spot
day,long
man,gender
man,self
woman,shapely
student,learner
group,association
problem,situation
student,learning
man,woman
man,woman
student,university
problem,solution
problem,solved
student,learner
group,women
student,learner
problem,obstacle
problem,issue
group,association
group,study
problem,difficulty
problem,solution
group,many
problem,fix
group,clique
group,together
problem,fix
group,team
problem,solution
problem,solve
group,bunch
problem,solution
group,time
group,association
problem,solving
group,family
hand,foot
way,lost
week,toil
time,clock
week,covering
way,method
way,path
way,route
way,path
company,firm
time,rush
company,firm
thing,
country,United States
thing,item
thing,object
thing,monster
thing,such
thing,noun
country,lane
world,globe
hand,helping
time,clock
hand,need
family,friend
day,night
family,mother
day,light
family,close
time,place
time,watch
time,now
time,measure
part,party
state,elocute
child,abuse
woman,feminine
world,globe
system,work
country,USA
place,home
woman,man
country,home
life,
people,lots
place,city
people,humans
life,spring
country,place
place,London
day,night
day,night
people,persons
people,crowd
week,day
day,morning
week,time
world,earth
year,long
company,two
child,memory
year,birthday
hand,help
company,friends
state,division of the US
week,long
state,united
child,welfare
world,war
hand,grab
part,small
world,view
hand,over
part,way
woman,beauty
system,systematic
system,
woman,female
system,gambler
life,breathing
life,adventure
student,fun
state,
case,study
student,learn
year,best
child,baby
part,do
part,piece
state,country
way,road
child,fun
man,woman
way,verge
way,forward
state,nation
man,woman
state,nation
company,entity
year,time
company,business
company,friends
state,main
year,generation
man,husband
state,territory
year,365
company,talk
year,time
state,location
year,calender
company,work
year,millennium
year,date
thing,item
hand,help
case,valise
woman,man
people,love
week,seven days
people,population
student,learner
week,day
family,friends
hand,manipulate
case,holder
day,night
week,weekend
week,month
week,period
day,shine
place,here
week,day
day,today
day,night
student,teacher
week,seven days
week,workweek
place,put
thing,item
place,home
thing,past
people,smile
place,set
family,mum
part,thing
woman,great
woman,man
child,my
family,dad
child,young
time,25
time,space
system,way
time,bottle
time,era
child,children
time,flies
system,computer
world,small
world,map
world,globe
world,globe
world,map
world,globe
world,war
world,peace
world,huge
world,huge
world,vast
world,earth
world,ocean
part,hair
world,peace
world,warming
world,globe
world,wide
man,woman
man,human
hand,body part
part,whole
school,bus
case,box
school,building
school,test
life,work
hand,stand
case,box
way,path
way,route
country,exurb
country,cousin
way,Tao
country,county
way,route
country,America
way,fare
country,nation
way,path
way,to
country,music
country,city
case,file
student,school
life,being
system,way
people,folk
family,work
life,song
system,ordered
life,long
life,death
life,death
life,love
family,children
system,organization
family,friends
family,adverb
family,tight
family,tablecloth
family,mother
family,pain
family,children
family,friends
family,values
family,sisters
family,circle
family,relatives
company,store
woman,man
day,break
day,24 hours
hand,foot
day,night
student,location
part,hairline
company,of others
hand,fingers
company,group
hand,finger
company,guests
day,sun
man,woman
man,woman
man,
man,woman
man,woman
man,woman
man,person
school,blue
woman,lady
school,yard
place,here
child,kid
child,young
case,study
people,class
case,file
people,crowds
case,study
people,persons
people,humans
thing,object
case,upper
thing,something
people,social
thing,substance
people,crowded
case,law
case,box
case,study
thing,Dr Seuss
people,places
people,crowds
people,friendly
people,person
thing,noun
people,family
thing,sewing machine
thing,wild thing
people,crowd
thing,last
people,nation
place,home
thing,own
woman,legal
place,keeper
part,section
part,role
part,and parcel
system,operations
part,car
part,of
part,car
student,work
hand,foot
year,Friday
problem,strength
child,tot
child,tot
problem,poser
state,full
problem,solve
woman,female
state,n.h.
woman,pretty
day,night
hand,finger
week,month
time,clock
week,work
school,reading
company,guests
group,church
school,hell
system,theory
system,network
system,arrangement
company,corporation
week,seven days
hand,out
school,elementary
company,corporation
system,process
year,age
hand,right
system,of a down
year,month
system,organization
company,friends
year,month
company,accounts
hand,left
company,board
company,corporation
system,environment
place,value
system,down
year,time
place,town
system,operating
place,home
place,spot
year,annum
place,
place,put
place,home
place,hide
state,say
place,put
place,location
group,committee
life,people
child,small
state,Maine
day,now
time,infinite
child,son
group,people
group,crowd
day,sun
woman,joy
day,night
woman,man
student,school
day,night
student,study
woman,me
problem,idea
time,clock
life,joy
problem,question
state,California
country,United States
life,death
state,say
state,California
country,farm
country,land
school,high
country,principality
state,nation
way,opening
way,to go
school,education
time,clock
child,minder
way,via
child,son
man,woman
child,parent
time,closing
man,male
group,groupie
life,force
problem,stress
hand,work
life,love
student,demonstration
time,passage
group,together
hand,beer
time,past
life,get
week,seven days
student,teacher
problem,solution
week,day
week,month
problem,question
week,days
problem,bad
problem,difficulty
week,day
week,day
case,study
woman,man
school,learn
day,morning
way,route
child,baby
case,holder
day,gone
child,kid
child,kid
child,kid
year,calendar
student,young
school,room
child,father
woman,man
student,school
hand,arm
group,therapy
hand,foot
hand,glove
hand,left
group,herd
group,hug
group,people
group,collection
day,night
group,hug
way,out
hand,glove
time,flies
part,whole
woman,man
man,woman
company,business
part,section
thing,object
part,leave
way,too
woman,man
year,time
way,path
way,direction
case,situation
year,age
year,age
year,another
case,song
case,briefcase
school,fish
school,elementary
school,days
school,classroom
life,death
country,opposite of city
company,officers
day,night
time,hour
time,after time
country,continent
student,college
thing,some
problem,health
life,death
day,to day
problem,question
woman,man
problem,solution
state,condition
man,woman
student,learn
man,brave
company,logo
company,sondheim
student,struck
man,mourn
student,youth
student,education
company,business
company,friends
thing,swamp
day,night
people,places
thing,item
part,hair
woman,man
thing,nothing
woman,equal
system,down
life,death
world,war
life,breathe
world,globe
life,blood
time,thyme
year,days
hand,ring
people,group
hand,right
place,home
system,computer
family,happy
part,section
state,position
time,dimension
way,direction
part,section
case,lawsuit
child,adult
case,study
state,of mind
case,book
way,no way
country,USA
state,Mississippi
country,us
time,in a bottle
week,seven
country,place
way,out
way,road
week,seven days
week,seven
week,calendar
week,day
week,seven days
week,month
year,old
problem,trouble
student,scholar
system,thinking
group,gather
thing,penis
world,planet
world,earth
world,universe
thing,any
country,Canada
system,product
group,association
student,visa
group,cohort
student,learner
thing,object
system,organization
student,college
group,crowd
thing,stuff
system,overload
student,teacher
thing,the
life,vida
people,humans
man,woman
man,woman
place,person
hand,left
life,line
family,relationship
hand,finger
man,male
school,learn
place,location
time,watch
life,death
family,friends
hand,foot
life,purpose
place,location
school,student
