cue,R1
issue,matter
reason,why
change,difference
moment,instant
morning,afternoon
minute,second
man,woman
result,end
office,work
story,teller
right,wrong
eye,ball
friend,pal
line,straight
mother,father
force,push
people,friends
parent,guardian
point,sharp
hand,shake
job,crushing
week,meek
night,all through the
car,penny
party,alcohol
way,direction
kid,child
air,music
number,letter
year,birthday
lot,many
money,greed
day,week
member,belong
art,creativity
parent,child
city,town
kind,generous
business,way
house,small
team,ball
side,mine
student,me
job,career
home,here
point,click
air,cloud
place,people
end,finish
change,replace
eye,candy
school,fun
group,fun
level,up
hour,time
head,top
world,war
problem,student
state,union
child,mine
person,people
system,of
back,front
office,cubicle
day,night
war,bad
company,alone
power,over
community,village
health,happy
service,social
result,end
way,right
area,Dublin
law,break
woman,wife
people,life
work,play
right,wrong
money,power
month,January
case,books
week,day
research,searching
mother,maternal
life,death
part,belong
friend,love
guy,gal
girl,boy
time,is on my side
father,figure
force,push
room,with a view
car,auto
idea,thought
kid,child
body,glove
door,way
word,salad
country,native
fact,reason
family,community
night,evening
book,text
thing,is
history,repeats
line,fishing
face,nose
face,place
way,path
company,job
job,work
right,wrong
office,chair
business,partner
area,map
kind,sweet
member,relations
car,trouble
home,house
child,boy
history,lesson
place,locale
line,VCR
reason,cause
people,person
force,comply
parent,child
health,check
eye,glasses
war,Iraq
father,mother
week,end
school,room
minute,hour
group,team
result,findings
mother,father
hand,mouth
name,me
idea,mind
kid,child
girl,boy
party,birthday
body,flesh
community,town
system,machine
game,show
book,read
work,play
problem,solution
friend,foe
side,show
country,tis
change,spare
back,behind
city,populated
water,cool
end,beginning
state,country
story,narrative
level,straight
room,living room
point,finger
research,topic
moment,of
thing,action
door,knob
morning,afternoon
team,player
day,year
house,home
year,month
guy,hot
question,answer
air,plane
night,sleep
family,home
money,green
case,upper
fact,finder
service,dependable
law,legal
month,date
man,male
issue,problem
time,tide
woman,man
study,book
people,watching
parent,adult
month,calendar
group,not alone
force,field
name,tag
health,lifestyle
community,town
reason,season
student,debt
thing,one
person,singular
fact,fiction
kind,type
change,Obama :
company,guests
word,game
father,dad
idea,thought
place,stable
office,boring
year,annual
minute,annual
line,queue
water,wet
power,will
car,automobile
law,rule
moment,minute
country,field
way,foot
war,peace
result,product
state,jay-z
number,one
right,left
hand,work
hand,left
day,light
business,man
school,teacher
child,baby
case,law
mother,mum
system,method
job,search
room,big
week,day
house,sell
area,play
time,clock
party,alcohol
problem,solution
story,book
issue,problem
study,books
home,house
girl,boy
kid,child
member,society
money,love
end,the
guy,great
book,mark
book,read
art,colors
side,partner
research,study
level,one
life,death
question,answer
man,woman
body,whole
part,section
morning,time
point,atlas
friend,tamagotchi
world,planet
face,off
back,spine
family,parents
night,dark
game,play
city,large
eye,sight
door,shut
lot,much
air,flight
history,globe
team,effort
work,travail
city,town
home,heart
place,home
house,home
reason,why
man,yes
back,front
system,organization
number,one
question,mark
result,answer
side,body
idea,fun
job,work
air,light
family,love
work,horse
part,body
world,round
study,learn
state,affairs
body,long
area,confine
law,pompous
way,out
life,death
week,seven days
people,nations
research,science
child,infant
health,wealth
line,out
kid,goat
member,group
point,finger
war,horrible
case,brief
kind,nice
parent,mum
day,time
mother,child
fact,truth
lot,many
change,alter
night,stars
country,nationality
money,cash
power,source
morning,sunshine
office,computer
history,knights
eye,nose
month,day
story,book
father,mother
car,vehicle
art,work
friend,happy
student,study
game,play
team,players
water,good
girl,pretty
company,money
service,car
name,Jessica
force,army
level,one
time,game
issue,problem
community,funds
door,go
law,order
health,training
student,eat
father,mother
hand,arm
result,exam
side,steak
issue,magazine
book,vocabulary
change,weather
body,mind
job,work
moment,wondrous
study,college
water,drink
home,safe
place,name
time,early
minute,hour
people,person
way,road
eye,glasses
air,balloon
life,death
fact,fiction
end,finish
problem,conundrum
money,dollar
case,suitcase
guy,boy
member,group
thing,object
party,animal
week,day
business,suit
day,night
car,truck
man,woman
number,things
research,investigate
country,rural
story,book
art,sculpture
friend,pal
company,friends
company,good
service,community
lot,whole
room,house
night,late
question,answer
morning,sleep
child,baby
girl,boy
kind,sort
point,finger
face,head
mother,mom
system,body
game,fun
part,one
school,elementary
parent,child
part,whole
reason,rhyme
month,week
area,round
team,player
work,hard
woman,figure
back,to back
woman,man
kid,child
state,representative
state,country
group,study
right,handed
year,week
world,war
person,human
right,side
person,human
group,policy
person,people
kid,child
level,upper
person,people
right,left
level,flat
level,floor
level,goal
level,set
level,wood
level,field
point,pencil
eye,ball
lot,auction
house,home
force,pressure
service,secret
moment,now
study,learn
car,boat
minute,second
place,location
student,me
business,card
head,tails
air,breath
home,house
time,sand
morning,day
name,last
result,finding
money,diner
work,study
word,noun
work,shift
question,puzzled
water,sea
friend,person
night,day
office,career
kind,sweet
fact,truth
city,town
case,need
line,drive
art,book
door,entry
research,study
way,path
book,bag
thing,place
game,study
system,earth
mother,father
week,day
family,home
man,is
reason,why
people,places
issue,problem
face,nose
member,society
guy,girl
father,parent
body,heat
year,time
law,order
room,bed
school,class
number,numeral
day,night
community,neighborhood
health,important
power,failure
hour,minute
problem,challenge
story,literature
hand,left
country,USA
history,school
back,front
job,work
parent,mother
parent,child
history,textbooks
side,vegetables
war,peace
back,forth
parent,father
life,death
team,work
side,hurt
war,death
history,boring
history,memory
end,beginning
party,fun
area,location
party,festive
change,evolution
girl,boy
child,mother
father,mother
family,home
city,town
face,nose
idea,new
body,bad
month,may
head,headache
study,hard
law,study
fact,fiction
game,sport
state,empire
area,arena
house,home
line,chalk
morning,wake up
group,friends
problem,question
power,super
people,magazine
force,airplane
number,math
issue,magazine
mother,father
hand,foot
job,
system,builder
eye,ball
end,goal
story,book
power,physics
power,people
country,America
life,vibrant
hour,long
year,century
job,work
service,rendered
money,coins
kid,goat
reason,logic
girl,boy
girl,boy
book,page
case,based
book,dusty
minute,minuet
world,globe
time,clock
school,field trip
health,health
day,night
guy,male
thing,anything
art,avant-garde
art,paint
community,town
room,full
lot,a
moment,in the
student,teacher
room,of
name,hello
friend,love
result,test
part,hair
place,house
part,hair
place,Chicago
home,Thanksgiving
company,friends
way,road
water,
woman,man
door,handle
child,kid
man,woman
air,lungs
business,corporation
point,pencil
night,dark
office,room
kind,nice
change,clothes
word,letters
research,methods
research,work
problem,solution
day,night
number,one
week,one
father,daughter
minute,sixty
house,home
door,entrance
mother,right
year,month
law,government
head,hair
health,exercise
area,math
body,parts
number,one
head,job
water,wet
line,fishing
idea,guess
face,visage
guy,male
month,day
service,full
business,money
point,pin
lot,lottery
night,day
life,game
party,time
study,desk
result,consequence
fact,ascertain
change,penny
force,push
war,fighting
end,finale
story,never ending
time,casual
case,backup
student,academic
air,way
game,board game
morning,sun
team,lens
hour,minute
people,animals
system,computer
money,power
moment,this
friend,best
school,read
thing,object
company,corporation
family,Christmas
reason,no
name,me
eye,ball
community,group
country,nation
kid,child
hand,shake
group,alone
issue,matter
world,globe
group,gang
state,flag
question,answer
home,house
back,bone
question,answer
kind,generous
child,julianna
child,children
line,straight
right,left
air,water
idea,thought
game,Jeu
community,tight knit
end,beginning
art,paint
country,origin
month,year
game,play
hour,day
family,time
company,friend
face,base
kind,nice
kid,child
place,time
part,incomplete
door,open
business,work
party,hardy
fact,fiction
man,woman
friend,ship
people,suck
change,coins
girl,hot
night,dark
law,will
hand,glove
city,London
office,hours
thing,pen
book,rip
health,sick
research,science
guy,yo
war,peace
lot,Jerusalem
world,everything
job,career
service,customer
state,country
mother,father
case,legal
morning,star
problem,solve
house,home
way,more
car,bus
life,game
person,whole
body,image
time,management
school,learning
force,field
parent,teacher
minute,time
reason,treason
area,career
father,daughter
home,heart
year,calendar
day,night
member,ship
member,staff
water,swim
story,telling
back,go
result,score
room,temperature
woman,man
side,line
point,dot
moment,monument
week,day
question,answer
city,town
system,protest
right,on
body,corporate
thing,ring
kid,child
face,cream
car,crash
friend,indeed
parent,mum
room,solitude
story,tale
law,abiding
door,frame
number,zero
people,person
power,energy
state,South Carolina
service,faith
study,research
point,blank
area,place
time,clock
moment,one
force,physics
guy,man
line,up
company,good
month,day
morning,afternoon
person,people
art,music
air,supply
year,decade
business,personal
life,biology
man,woman
way,road
home,sweet
woman,person
eye,ball
father,mother
team,spirit
research,study
minute,hand
issue,magazine
part,play
school,yard
girl,boy
job,search
party,pinkie pie
idea,thought
hand,price
place,placate
case,study
child,kid
day,today
student,teacher
name,Jane
history,past
hour,power
side,
kind,alike
night,dark
fact,fiction
head,hair
world,small
family,tree
house,hunt
lot,much
change,good
mother,father
war,killing
word,write
result,test
end,finale
country,code
problem,solution
reason,yes
country,music
work,force
problem,solution
money,green
book,Facebook
book,tome
kid,child
way,Jesus
week,seven days
minute,second
member,take
hand,finger
line,geometry
lot,wood
father,mother
health,wise
state,sovereign
child,protect
company,good
face,eyes
people,husband
service,bowl
team,work
part,some
head,jail
part,pink
night,bread
service,help
history,past
war,smoke
service,help
game,kids
man,human
air,breathe
system,management
force,field
person,property
friend,ally
research,study
idea,think
side,bar
school,books
school,Valerie
group,picture
law,school
month,year
morning,noon
house,home
party,celebration
art,color
time,rush
back,chiropractor
word,many
study,library
body,of proof
back,forth
guy,man
office,space
place,New York
business,accounting
world,view
result,test
hour,minute
money,cash
water,lake
issue,magazine
case,pack
student,school
student,English
fact,check
student,teacher
year,2011
home,hearth
city,lights
door,frame
kind,gentle
kind,hearted
eye,face
end,finish
father,mother
lot,an amount
issue,magazine
friend,foe
hour,time
number,digit
day,night
week,day
car,truck
health,benefit
time,money
room,house
group,people
kid,child
force,dint
story,ale
community,neighborhood
member,yesterday
girl,child
country,United States
case,grammar
power,exponents
idea,thoughts
study,learn
man,woman
idea,good
level,straight
house,apartment
book,reading
people,persons
city,sf
team,player
water,aqua
face,nose
word,games
company,hosting
woman,man
law,lawyer
woman,man
line,dialogue
result,positive
area,square
money,it's a gas
research,study
work,home
side,lateral
job,work
door,window
hand,fingers
game,play
mother,father
morning,afternoon
reason,thought
name,Barry
guy,man
night,evening
history,ages
year,2011
party,time
point,to point
person,to person
right,left
way,cool
air,lift
system,role
home,house
moment,just a moment
fact,word
state,united
war,horror
problem,solution
minute,soon
place,here
life,experience
month,work
business,work
family,love
life,loving it
head,master
level,three
people,men
level,even
place,home
member,person
group,sex
word,definition
book,read
word,letters
number,23
fact,check
hour,minute
name,dropper
side,road
kid,gloves
time,watch
power,strong
work,challenge
water,wet
parent,mom
air,oxygen
father,mother
girl,boy
hand,write
mother,father
body,soul
man,woman
question,query
art,creation
game,fun
week,seven days
reason,logic
school,work
war,power
eye,glasses
research,work
result,answer
world,wide
lot,group
health,heart
moment,living
guy,men
door,entrance
end,final
system,spontaneous
money,cash
line,dash
home,house
friend,best
study,books
country,Australia
kind,nice
person,like
family,wife
face,palm
way,which
force,rape
morning,bird
business,money
year,off
car,port
problem,child
job,work
history,book
city,bus
month,pay
point,click
child,baby
night,day
case,trip
room,of one's own
case,file
minute,time
issue,edition
back,side
thing,stuff
head,ache
head,top
issue,give
thing,object
back,behind
minute,second
thing,item
head,tail
back,and forth
thing,every
back,front
minute,rice
story,up
minute,time
story,tale
parent,mom
place,put
group,collection
force,push
office,desk
team,group
lot,many
water,liquid
room,space
father,mother
person,people
hour,long
number,cruncher
problem,difficulty
company,corporation
morning,good
health,care
woman,man
kid,just kidding
service,restaurant
idea,concept
point,center
art,class
moment,movement
book,words
time,watch
reason,sense
job,search
work,hard
school,work
war,carnage
door,out the door
way,whey
mother,father
man,fire
guy,chair
people,human
life,birth
city,town
air,breath
world,earth
girl,boy
area,place
party,hats
month,day
end,dead
study,abroad
money,devil
power,grace
power,electric
eye,sees
member,group
business,people
house,home
state,emergency
day,night
law,abiding
kind,care bear
side,choose
change,improve
research,study
child,hat
student,learner
body,water
result,exam
week,day
body,corporal
car,auto
night,fun
friend,acquaintance
hand,to mouth
part,parcel
right,left
community,town
home,house
history,mystery
question,curiosity
right,left
country,city
way,court
law,rule
people,person
week,day
school,education
game,computer
person,people
world,globe
change,alter
team,horses
family,love
study,think
guy,dude
day,light
home,sweet
time,clock
company,man
house,home
room,house
side,next
kind,sentimental
job,career
result,test tube
eye,ball
month,year
problem,oops
state,awareness
line,standing in
part,of a whole
fact,truth
mother,mom
reason,question
city,town
case,law
number,game
hand,foot
face,nose
community,chest
night,crawler
office,the
service,community
woman,man
group,study
health,wellbeing
art,drawing
child,young
research,inquire
party,fun
moment,now
history,past
father,voice
book,road deal
system,plan
hour,minute
member,element
student,youngster
member,appendage
day,time
school,teach
week,day
case,of beer
group,many
system,change
family,friends
lot,of
business,establishment
law,rule
office,bureau
story,narrative
reason,science
year,calendar
eye,iris
power,lead
place,here
face,visage
result,product
problem,challenge
study,theory
kid,child
right,correct
woman,her
job,employment
morning,daybreak
door,window
state,smash
side,screen
home,house
people,places
side,swipe
research,assistant
party,game
month,day
money,argent
service,work
moment,glory
line,pen
issue,bonds
community,city
life,living
art,painting
history,science
body,legs
team,group
air,breeze
mother,child
parent,child
head,family
health,care
end,start
city,town
child,hood
friend,ship
hand,give
part,of
book,read
work,labor
guy,boy
name,person
kind,type
country,Canada
car,drive
company,work
area,space
word,language
water,lake
girl,boy
time,minutes
question,answer
game,fun
person,man
force,Jedi
story,book
law,and order
friend,fast
party,dancing
country,Canada
student,study
moment,peace
car,pool
lot,building
year,1980
end,beginning
company,good
money,cunt
job,work
body,work
thing,noun
group,friends
woman,beauty
child,adolescent
case,container
health,wellness
people,human
girl,boy
number,number
mother,mom
face,head
part,two
system,of a down
kind,gentle
fact,opinion
state,colony
reason,faculties
service,industry
team,win
school,learn
book,reservation
problem,issue
community,people
force,make
place,space
question,question mark
level,flat
father,dad
issue,tissue
house,yard
study,hall
life,fly
city,cityscape
game,ready
result,end
word,symbol
hand,help
work,dishes
family,child
parent,mum
history,Russian
night,dark
member,parliament
week,day
change,nickel
world,globe
home,house
guy,man
name,nomenclature
idea,think
line,direct
war,violence
research,enjoyable
man,human
day,night
point,see
issue,question
number,letter
state,country
office,building
way,one
air,err
party,hearty
school,sleep
art,meaning
business,occupation
body,torso
law,legal
head,foot
hour,wage
country,road
study,hall
result,finding
history,world
family,love
problem,math
level,school
money,rich
home,baby
year,x
month,year
room,closed
game,plan
change,switch
war,peace
face,nose
thing,item
girl,weak
mother,love
line,man
case,study
health,food
guy,gal
service,man
back,side
end,dead
moment,time
friend,gold
kid,child
hand,hold
child,parent
part,half
community,fun
parent,adult
woman,wily
right,wrong
side,next to
time,off
word,say
job,life
place,here
fact,knowledge
man,woman
idea,good
question,answer
work,shop
group,groupon
work,responsibility
car,van
house,home
reason,logic
student,young
point,dot
story,tale
team,teamwork
day,light
minute,tiny
book,read
night,owl
father,daughter
people,peeps
area,land
world,globe
person,place
system,error
city,living
name,it
system,analysis
power,egotistical
week,days
power,hungry
water,wet
kind,kin
water,fall
kind,nature
parent,guardian
hand,give
eye,optics
book,language
father,paternal
week,Monday
kid,young
word,noun
issue,protagonist
place,person
team,swim
place,town
idea,think
back,pack
community,live
room,view
area,rug
money,green
force,forceful
family,friends
car,accident
fact,of life
study,books
body,curvy
law,immigration
man,women
head,shoulders
history,geography
result,test
number,how many
name,that
time,watch
day,night
thing,monster
people,happiness
woman,kind
war,hate
hour,time
friend,confidant
world,geography
country,USA
school,college
person,human
morning,orange
student,young
service,truck
year,Lear
state,late
lot,a
company,keep
change,different
job,money
case,square
story,tale
guy,gal
research,library
house,music
city,state
reason,idiot
home,sleep
problem,solve
point,finger
health,hospitals
part,
night,time
side,square
child,parent
group,alone
office,building
minute,late
line,vertical
moment,time
art,draw
month,twelve
air,breathe
party,balloons
right,wrong
air,breathe
game,play
level,highest
face,mace
level,construction
end,the end of movie
member,club
change,wind
part,piece
member,relationship
person,who
issue,question
state,country
reason,excuse
eye,ball
year,365
mother,did
people,persons
fact,truth
eye,ball
power,control
school,homework
month,day
study,homework
history,American
book,dictionary
water,hydrate
side,
party,fiesta
friend,foe
kind,nice
city,San Diego
research,assistant
force,
number,
health,wellness
life,game
moment,time
end,finish
case,study
game,video game
system,computer
week,end
kid,kiddo
way,wheat
war,far
night,day
girl,boy
point,pin
work,study
business,money
man,penis
company,business
hour,time
father,mother
day,one
community,sister
idea,thought
right,wrong
line,chalk
thing,slim
morning,person
back,pain
family,love
problem,trouble
team,triathlon
house,roof
minute,tiny
head,shoulder
parent,child
lot,a lot
hand,hold
service,good
name,Alex
body,parts
world,news
student,hardworking
body,exercise
body,mind
door,frame
home,heart
result,grade
story,line
war,fighting
mother,father
question,answer
room,ballroom
end,beginning
month,year
reason,answer
man,woman
right,wrong
art,creativity
case,brief
minute,time
hour,rush
student,organization
guy,girl
lot,cars
day,today
family,home
friend,joy
world,ball
parent,love
game,fun
number,one
word,association
history,past
hand,fingernails
part,whole
team,group
issue,problem
kid,tot
service,butch
study,learn
back,yard
place,destination
system,computer
people,world
woman,man
water,ocean
head,
house,home
fact,detail
problem,difficult
city,state
change,Bowie
level,game
job,work
idea,brain
air,lair
night,light
work,play
state,nation
morning,breakfast
office,the
member,penis
side,choice
story,telling
group,work
life,death
money,green
power,hungry
thing,some
point,foot
result,test
child,kid
time,clock
week,time
country,state
business,school
area,town
line,geometry
face,smile
kind,nice
door,window
company,companion
moment,of
home,heart
year,day
year,abuse
book,read
girl,love
father,mother
person,place
way,say
moment,momentous
number,one
case,brief
week,day
system,of a down
kid,child
money,wealth
mother,mom
history,mystery
job,work
business,empty
force,hit
war,battle
friend,best
hand,thumb
law,lawyer
art,painting
result,lab
community,service
state,chemistry
part,of my life
team,spirit
morning,yoga
day,morning
father,mother
eye,ball
city,place
country,state
word,list
health,healthy
lot,little
family,friends
game,mind
point,space
back,front
child,baby
story,book
office,show
reason,why
minute,hour
hour,time
night,owl
level,steps
idea,light bulb
room,area
issue,magazine
life,good
member,family
right,wrong
air,oxygen
student,school
area,perimeter
guy,dude
man,woman
study,sleep
world,wide
work,tired
end,time
door,stop
thing,one
time,procrastination
home,warmth
house,dog
head,understand
girl,friend
change,hairstyle
school,learn
people,lonely
parent,supportive
fact,true
book,read
problem,issue
power,king
name,Richard
service,servicable
line,border
month,November
car,drive
kind,type
group,number
question,ask
body,cavity
force,blunt
air,wind
man,woman
head,shoulders
person,love
people,person
minute,second
question,mark
day,night
number,one
house,home
problem,solve
result,effort
morning,dawn
state,of being
mother,son
game,play
home,heart
school,education
right,wrong
change,different
time,out
kind,like
job,work
kid,child
thing,many
office,work
father,mother
money,dollar
eye,iris
name,Alex
student,master
fact,rich
company,you keep
year,one
hand,washing
life,alive
car,auto
party,fun
study,desk
part,time
place,holder
level,even
country,nation
service,customer
team,player
lot,property
member,associate
friend,family
law,order
group,collection
system,failure
story,lines
issue,standard
back,front
power,ranger
art,music
hour,power
child,kid
door,closed
end,the
family,mum
guy,man
way,home
woman,female
line,fish
business,work
health,doctor
history,making
work,keep
city,New York
moment,one
girl,kid
community,home
water,refreshing
month,week
reason,argue
idea,bright
book,read
research,development
world,globe
case,study
area,fifty-four
side,top
parent,teacher
week,month
war,blood
state,nanny
parent,mother
home,family
water,ice
woman,fair
system,oppression
minute,hour
number,lots
door,open
back,forth
end,coda
money,wealth
word,phrase
party,favors
night,stars
point,finger
air,clean
hand,glove
problem,solution
level,sea
area,measurement
work,place
house,shelter
side,ways
world,small
issue,subject
girl,boy
year,days
reason,logic
mother,father
result,science
power,step
business,money
fact,fiction
moment,time
company,business
time,clock
thing,the
student,male
group,insurance
way,up top
hour,time
head,shoulders
face,makeup
morning,glory
book,library
community,place
office,desk
people,man
part,piece
car,race
week,day
kind,gentle
study,books
person,man
service,servitude
idea,good
right,left
life,42
health,medicine
man,woman
guy,girl
eye,ears
job,hunting
member,group
line,drawing
story,words
child,care
father,mother
body,arm
case,study
question,bad
lot,a
team,Edward
research,chemistry
day,night
place,filled
room,door
room,one's own
game,play
change,coins
art,deco
history,her-story
name,call
change,alter
name,title
friend,pal
law,legal
force,Star Wars
school,work
war,guns
right,on
guy,girl
back,stroke
number,one
level,on the
art,tart
country,USA
water,fall
community,association
school,fun
issue,magazine
history,past
day,sun
girl,dress
result,culmination
night,time
health,mine
father,mother
service,tax
month,year
week,day
man,woman
party,lampshade
thing,other
home,house
place,location
morning,morn
lot,amount
people,friends
year,Tory
person,thing
area,place
story,teller
office,work
question,ask
hand,over
minute,tiny
system,computer
eye,glasses
house,mouse
head,back
world,oyster
idea,light bulb
member,audience
game,play
side,flank
problem,issue
woman,strong
way,road
face,dial
work,study
study,read
body,form
kind,amiable
end,last
city,center
job,hand
case,upper
friend,best
research,lookup
student,studying
mother,guide
car,engine
law,statute
book,page
team,work
reason,think
door,open
line,draw
business,job
point,pointless
state,American state
power,grid
part,ways
force,field
family,problems
parent,root
kid,goat
group,setting
moment,shed
money,dough
company,group
war,gun
time,clock
word,read
fact,factoid
point,of view
face,to face
people,men
result,exam
question,answer
hand,finger
group,gang
history,teacher
head,top
party,shindig
team,sport
country,England
air,breathe
service,good
game,ball
art,modern
office,worker
lot,much
girl,woman
issue,problem
power,politics
right,correct
story,correct
force,power
level,game
business,company
case,tick
way,route
door,entrance
name,tune
hour,minute
morning,sunshine
word,association
end,final
father,figure
home,house
day,night
idea,good
moment,next
night,day
body,hands
book,paper
member,group
year,day
war,hate
line,underscore
study,room
area,work
law,book
mother,daughter
company,stocks
research,study
side,besides
fact,fiction
back,shoulder
woman,girl
problem,solve
world,earth
state,quo
guy,gal
room,space
state,situation
family,kin
family,friends
person,brother
parent,child
parent,father
parent,child
parent,father
parent,child
parent,mother
parent,child
parent,father
parent,mother
parent,mother
side,bar
hour,minute
student,learning
line,play
law,abiding
force,push
life,time
health,wellness
power,people
business,card
child,welfare
moment,time
story,tale
study,work
lot,okay
system,administrator
research,methods
party,booze
research,learn
power,energy
change,I Ching
question,mark
people,friends
kind,nice
car,automobile
minute,tiny
girl,fancy
game,green
way,path
kid,Billy
member,form
head,strong
kid,gloves
word,noun
history,story
room,rent
week,end
team,work
head,me
eye,eye
morning,night
part,split
back,front
thing,stuff
service,car
city,lights
year,leap year
body,part
month,day
friend,pal
year,annual
fact,true
level,even
night,dark
friend,call
face,plant
group,together
office,space
community,potluck
air,breath
team,group
right,left
number,anesthesia
issue,without
woman,man
end,the
reason,season
face,ache
world,earth
result,score
hand,maiden
guy,rope
door,open
problem,solution
case,legal
home,family
case,explanation
case,study
book,page
person,impersonal
art,money
book,good
day,night
money,hungry
book,worm
father,mother
money,wallet
