cue,R1
money,power
month,January
case,books
week,day
mother,maternal
life,death
part,belong
time,is on my side
room,with a view
word,salad
country,native
fact,reason
family,community
night,evening
book,text
thing,is
way,path
company,job
job,work
right,wrong
business,partner
area,map
home,house
child,boy
place,locale
people,person
eye,glasses
week,end
school,room
group,team
mother,father
hand,mouth
system,machine
book,read
work,play
problem,solution
country,tis
water,cool
state,country
story,narrative
room,living room
point,finger
thing,action
day,year
year,month
question,answer
night,sleep
family,home
money,green
case,upper
fact,finder
month,date
man,male
issue,problem
time,tide
woman,man
study,book
people,watching
month,calendar
group,not alone
student,debt
thing,one
fact,fiction
company,guests
word,game
place,stable
year,annual
water,wet
country,field
way,foot
state,jay-z
number,one
right,left
hand,work
hand,left
day,light
business,man
school,teacher
child,baby
case,law
mother,mum
system,method
job,search
room,big
week,day
area,play
time,clock
problem,solution
story,book
issue,problem
study,books
home,house
money,love
book,mark
book,read
life,death
question,answer
man,woman
part,section
point,atlas
world,planet
family,parents
night,dark
eye,sight
lot,much
work,travail
home,heart
place,home
man,yes
system,organization
number,one
question,mark
job,work
family,love
work,horse
part,body
world,round
study,learn
state,affairs
area,confine
way,out
life,death
week,seven days
people,nations
child,infant
point,finger
case,brief
day,time
mother,child
fact,truth
lot,many
night,stars
country,nationality
money,cash
eye,nose
month,day
story,book
student,study
water,good
company,money
time,game
issue,problem
student,eat
hand,arm
issue,magazine
book,vocabulary
job,work
study,college
water,drink
home,safe
place,name
time,early
people,person
way,road
eye,glasses
life,death
fact,fiction
problem,conundrum
money,dollar
case,suitcase
thing,object
week,day
business,suit
day,night
man,woman
number,things
country,rural
story,book
company,friends
company,good
lot,whole
room,house
night,late
question,answer
child,baby
point,finger
mother,mom
system,body
part,one
school,elementary
part,whole
month,week
area,round
work,hard
woman,figure
woman,man
state,representative
state,country
group,study
right,handed
year,week
world,war
right,side
group,policy
right,left
point,pencil
eye,ball
lot,auction
study,learn
place,location
student,me
business,card
home,house
time,sand
money,diner
work,study
word,noun
work,shift
question,puzzled
water,sea
night,day
fact,truth
case,need
way,path
book,bag
thing,place
system,earth
mother,father
week,day
family,home
man,is
people,places
issue,problem
year,time
room,bed
school,class
number,numeral
day,night
problem,challenge
story,literature
hand,left
country,USA
job,work
life,death
area,location
child,mother
family,home
month,may
study,hard
fact,fiction
state,empire
area,arena
group,friends
problem,question
people,magazine
number,math
issue,magazine
mother,father
hand,foot
job,
system,builder
eye,ball
story,book
country,America
life,vibrant
year,century
job,work
money,coins
book,page
case,based
book,dusty
world,globe
time,clock
school,field trip
day,night
thing,anything
room,full
lot,a
student,teacher
room,of
part,hair
place,house
part,hair
place,Chicago
home,Thanksgiving
company,friends
way,road
water,
woman,man
child,kid
man,woman
business,corporation
point,pencil
night,dark
word,letters
problem,solution
day,night
number,one
week,one
mother,right
year,month
area,math
number,one
water,wet
month,day
business,money
point,pin
lot,lottery
night,day
life,game
study,desk
fact,ascertain
story,never ending
time,casual
case,backup
student,academic
people,animals
system,computer
money,power
school,read
thing,object
company,corporation
family,Christmas
eye,ball
country,nation
hand,shake
group,alone
issue,matter
world,globe
group,gang
state,flag
question,answer
home,house
question,answer
child,julianna
child,children
right,left
country,origin
month,year
family,time
company,friend
place,time
part,incomplete
business,work
fact,fiction
man,woman
people,suck
night,dark
hand,glove
thing,pen
book,rip
lot,Jerusalem
world,everything
job,career
state,country
mother,father
case,legal
problem,solve
way,more
life,game
time,management
school,learning
area,career
home,heart
year,calendar
day,night
water,swim
story,telling
room,temperature
woman,man
point,dot
week,day
question,answer
system,protest
right,on
thing,ring
room,solitude
story,tale
number,zero
people,person
state,South Carolina
study,research
point,blank
area,place
time,clock
company,good
month,day
year,decade
business,personal
life,biology
man,woman
way,road
home,sweet
woman,person
eye,ball
issue,magazine
part,play
school,yard
job,search
hand,price
place,placate
case,study
child,kid
day,today
student,teacher
night,dark
fact,fiction
world,small
family,tree
lot,much
mother,father
word,write
country,code
problem,solution
country,music
work,force
problem,solution
money,green
book,Facebook
book,tome
way,Jesus
week,seven days
hand,finger
lot,wood
state,sovereign
child,protect
company,good
people,husband
part,some
part,pink
night,bread
man,human
system,management
school,books
school,Valerie
group,picture
month,year
time,rush
word,many
study,library
place,New York
business,accounting
world,view
money,cash
water,lake
issue,magazine
case,pack
student,school
student,English
fact,check
student,teacher
year,2011
home,hearth
eye,face
lot,an amount
issue,magazine
number,digit
day,night
week,day
time,money
room,house
group,people
story,ale
country,United States
case,grammar
study,learn
man,woman
book,reading
people,persons
water,aqua
word,games
company,hosting
woman,man
woman,man
area,square
money,it's a gas
work,home
job,work
hand,fingers
mother,father
night,evening
year,2011
point,to point
right,left
way,cool
system,role
home,house
fact,word
state,united
problem,solution
place,here
life,experience
month,work
business,work
family,love
life,loving it
people,men
place,home
group,sex
word,definition
book,read
word,letters
number,23
fact,check
time,watch
work,challenge
water,wet
hand,write
mother,father
man,woman
question,query
week,seven days
school,work
eye,glasses
world,wide
lot,group
system,spontaneous
money,cash
home,house
study,books
country,Australia
family,wife
way,which
business,money
year,off
problem,child
job,work
month,pay
point,click
child,baby
night,day
case,trip
room,of one's own
case,file
issue,edition
thing,stuff
issue,give
thing,object
thing,item
thing,every
story,up
story,tale
place,put
group,collection
lot,many
water,liquid
room,space
number,cruncher
problem,difficulty
company,corporation
woman,man
point,center
book,words
time,watch
job,search
work,hard
school,work
way,whey
mother,father
man,fire
people,human
life,birth
world,earth
area,place
month,day
study,abroad
money,devil
eye,sees
business,people
state,emergency
day,night
child,hat
student,learner
week,day
night,fun
hand,to mouth
part,parcel
right,left
home,house
question,curiosity
right,left
country,city
way,court
people,person
week,day
school,education
world,globe
family,love
study,think
day,light
home,sweet
time,clock
company,man
room,house
job,career
eye,ball
month,year
problem,oops
state,awareness
part,of a whole
fact,truth
mother,mom
case,law
number,game
hand,foot
night,crawler
woman,man
group,study
child,young
book,road deal
system,plan
student,youngster
day,time
school,teach
week,day
case,of beer
group,many
system,change
family,friends
lot,of
business,establishment
story,narrative
year,calendar
eye,iris
place,here
problem,challenge
study,theory
right,correct
woman,her
job,employment
state,smash
home,house
people,places
month,day
money,argent
issue,bonds
life,living
mother,child
child,hood
hand,give
part,of
book,read
work,labor
country,Canada
company,work
area,space
word,language
water,lake
time,minutes
question,answer
story,book
country,Canada
student,study
lot,building
year,1980
company,good
money,cunt
job,work
thing,noun
group,friends
woman,beauty
child,adolescent
case,container
people,human
number,number
mother,mom
part,two
system,of a down
fact,opinion
state,colony
school,learn
book,reservation
problem,issue
place,space
question,question mark
issue,tissue
study,hall
life,fly
word,symbol
hand,help
work,dishes
family,child
night,dark
week,day
world,globe
home,house
man,human
day,night
point,see
issue,question
number,letter
state,country
way,one
school,sleep
business,occupation
country,road
study,hall
family,love
problem,math
money,rich
home,baby
year,x
month,year
room,closed
thing,item
mother,love
case,study
hand,hold
child,parent
part,half
woman,wily
right,wrong
time,off
word,say
job,life
place,here
fact,knowledge
man,woman
question,answer
work,shop
group,groupon
work,responsibility
student,young
point,dot
story,tale
day,light
book,read
night,owl
people,peeps
area,land
world,globe
system,error
system,analysis
week,days
water,wet
water,fall
hand,give
eye,optics
book,language
week,Monday
word,noun
issue,protagonist
place,person
place,town
room,view
area,rug
money,green
family,friends
fact,of life
study,books
man,women
number,how many
time,watch
day,night
thing,monster
people,happiness
woman,kind
world,geography
country,USA
school,college
student,young
year,Lear
state,late
lot,a
company,keep
job,money
case,square
story,tale
home,sleep
problem,solve
point,finger
part,
night,time
child,parent
group,alone
month,twelve
right,wrong
part,piece
issue,question
state,country
eye,ball
year,365
mother,did
people,persons
fact,truth
eye,ball
school,homework
month,day
study,homework
book,dictionary
water,hydrate
number,
life,game
case,study
system,computer
week,end
way,wheat
night,day
point,pin
work,study
business,money
man,penis
company,business
day,one
right,wrong
thing,slim
family,love
problem,trouble
lot,a lot
hand,hold
world,news
student,hardworking
home,heart
story,line
mother,father
question,answer
room,ballroom
month,year
man,woman
right,wrong
case,brief
student,organization
lot,cars
day,today
family,home
world,ball
number,one
word,association
hand,fingernails
part,whole
issue,problem
study,learn
place,destination
system,computer
people,world
woman,man
water,ocean
fact,detail
problem,difficult
job,work
night,light
work,play
state,nation
story,telling
group,work
life,death
money,green
thing,some
point,foot
child,kid
time,clock
week,time
country,state
business,school
area,town
company,companion
home,heart
year,day
year,abuse
book,read
way,say
number,one
case,brief
week,day
system,of a down
money,wealth
mother,mom
job,work
business,empty
hand,thumb
state,chemistry
part,of my life
day,morning
eye,ball
country,state
word,list
lot,little
family,friends
point,space
child,baby
story,book
night,owl
room,area
issue,magazine
life,good
right,wrong
student,school
area,perimeter
man,woman
study,sleep
world,wide
work,tired
thing,one
time,procrastination
home,warmth
school,learn
people,lonely
fact,true
book,read
problem,issue
month,November
group,number
question,ask
man,woman
people,person
question,mark
day,night
number,one
problem,solve
state,of being
mother,son
home,heart
school,education
right,wrong
time,out
job,work
thing,many
money,dollar
eye,iris
student,master
fact,rich
company,you keep
year,one
hand,washing
life,alive
study,desk
part,time
place,holder
country,nation
lot,property
group,collection
system,failure
story,lines
issue,standard
child,kid
family,mum
way,home
woman,female
business,work
work,keep
water,refreshing
month,week
book,read
world,globe
case,study
area,fifty-four
week,month
state,nanny
home,family
water,ice
woman,fair
system,oppression
number,lots
money,wealth
word,phrase
night,stars
point,finger
hand,glove
problem,solution
area,measurement
work,place
world,small
issue,subject
year,days
mother,father
business,money
fact,fiction
company,business
time,clock
thing,the
student,male
group,insurance
way,up top
book,library
people,man
part,piece
week,day
study,books
right,left
life,42
man,woman
eye,ears
job,hunting
story,words
child,care
case,study
question,bad
lot,a
day,night
place,filled
room,door
room,one's own
school,work
right,on
number,one
country,USA
water,fall
school,fun
issue,magazine
day,sun
night,time
month,year
week,day
man,woman
thing,other
home,house
place,location
lot,amount
people,friends
year,Tory
area,place
story,teller
question,ask
hand,over
system,computer
eye,glasses
world,oyster
problem,issue
woman,strong
way,road
work,study
study,read
job,hand
case,upper
student,studying
mother,guide
book,page
business,job
point,pointless
state,American state
part,ways
family,problems
group,setting
money,dough
company,group
time,clock
word,read
fact,factoid
point,of view
people,men
question,answer
hand,finger
group,gang
country,England
lot,much
issue,problem
right,correct
story,correct
business,company
case,tick
way,route
word,association
home,house
day,night
night,day
book,paper
year,day
study,room
area,work
mother,daughter
company,stocks
fact,fiction
woman,girl
problem,solve
world,earth
state,quo
room,space
state,situation
family,kin
family,friends
student,learning
life,time
business,card
child,welfare
story,tale
study,work
lot,okay
system,administrator
question,mark
people,friends
way,path
word,noun
room,rent
week,end
eye,eye
part,split
thing,stuff
year,leap year
month,day
year,annual
fact,true
night,dark
group,together
right,left
number,anesthesia
issue,without
woman,man
world,earth
hand,maiden
problem,solution
case,legal
home,family
case,explanation
case,study
book,page
book,good
day,night
money,hungry
book,worm
money,wallet
man,woman
man,woman
point,decimal
student,teacher
family,love
right,left
hand,held
job,helper
number,maths
night,sky
business,capitalist
business,boring
time,prompt
month,November
country,England
room,bedroom
life,love
mother,father
work,job
woman,skirt
day,night
problem,Quandary
issue,theme
eye,ball
story,book
people,people person
week,weekly
question,time
company,friends
part,company
system,failure
area,vicinity
place,position
home,improvement
fact,Trey
school,class
school,class
time,passes
eye,tooth
student,party
man,woman
word,verb
right,wrong
water,chocolate
home,window
lot,acre
issue,subject
life,breath
part,party
hand,eye
study,cram
job,work
place,home
woman,man
mother,father
money,time
world,study
child,baby
question,answer
country,place
point,sharp
system,analyst
thing,that
number,3
year,yearly
story,book
problem,difficult
area,room
fact,truth
day,night
way,go
company,association
family,mother
state,of mind
week,time
people,crowd
state,digital switch
time,hour
problem,discussion
way,no
right,wrong
book,reading
life,energy
student,teacher
group,identity
money,none
work,job
country,rural
lot,very
mother,father
work,
story,tale
fact,info
area,location
home,is where the heart is
world,earth
people,persons
point,blank
day,light
water,drink
week,day
eye,beautiful
study,work
night,dark
thing,object
case,beer
month,day
hand,eye
word,association
number,numerals
man,love
job,occupation
place,over
business,money
room,space
family,love
system,equation
business,class
business,as usual
company,business
issue,topic
company,corporation
question,query
woman,man
people,an anime show
world,earth
story,tale
month,year
home,house
issue,problem
week,weak
life,live
group,friends
money,green
place,person
child,cry
right,left
water,fluid
word,sentence
student,school
state,nation
lot,batch
night,sleep
case,load
room,living dining
question,answer
way,path
country,field
thing,a-me-bob
job,employment
part,section
woman,girl
area,place
man,human
time,line
hand,job
fact,
point,indicate
family,and friends
job,Bible
water,drinkable
year,school
story,time
day,period
problem,thorny
life,death
thing,vague
right,left
money,bill
mother,father
state,government
book,nook
home,here
child,boy
world,view
question,mark
place,home
place,position
room,place
lot,yard
case,study
eye,see
woman,man
month,day
word,word
student,read
area,acre
week,end
area,
work,play
night,nocturnal
student,learner
work,horse
company,friendship
lot,more
part,play
part,music
issue,give
part,some
issue,topic
issue,question
way,path
man,woman
way,road
group,combine
group,clique
way,no way
man,woman
man,bloke
way,down
way,path
question,mark
hand,limb
country,land
woman,female
right,grabbing
eye,see
year,born
year,annual
life,vitality
number,one
case,suitcase
number,count
mother,parent
story,telling
life,
state,declare
home,safe
business,shop
job,work
home,heart
book,read
child,boy
room,divider
time,age
week,time
people,folks
thing,something
point,dot
day,night
word,spell
people,folk
money,game
day,rehabilitation
fact,true
money,cash
school,mar
day,light
problem,inquire
fact,true
family,siblings
system,computer
family,relatives
system,operations
family,kids
problem,opportunity
problem,answer
system,organization
water,thirsty
world,round
system,connected whole
world,earth
problem,solution
water,milk
family,mom
world,globe
study,cram
world,after ten
water,table
world,earth
system,network
study,learn
water,fluid
water,cooler
water,hydrogen oxide
study,experiment
study,learn
study,exam
job,work
study,work
study,learn
right,correct
study,examine
study,learn
study,school
work,weary
study,books
study,homework
job,money
story,fairytale
school,place
eye,sight
student,learner
word,meaning
eye,iris
room,spacious
business,class
time,was
child,girl
question,query
woman,female
company,gregarious
eye,see
mother,mum
eye,see
mother,loving
place,card
mother,embrace
area,space
hand,face
hand,tool
lot,little
book,store
case,briefcase
book,read
month,year
right,wrong
country,homeland
country,upset
night,owl
book,reader
night,dark
country,geography
night,day
night,evening
country,mine
country,nation
country,USA
country,town
country,US
question,ask
child,psychology
case,sensitive
word,turd
area,square
fact,truth
time,hour
month,time
time,minute
school,ties
state,say
story,tale
question,answer
time,fast
word,dictionary
place,space
month,year
school,student
number,one
home,body
area,site
place,site
woman,me
home,warm
student,university
year,ad
woman,lady
business,enterprise
room,space
people,person
issue,handkerchief
woman,lady
student,learner
thing,object
room,empty
place,location
room,place
company,business
woman,female
work,job
week,seven days
thing,phrase
issue,children
thing,item
lot,haunted home
thing,item
thing,sure
lot,many
life,exist
number,count
man,he
job,work
life,death
group,gathering
man,woman
year,seasons
hand,right
point,shoot
child,parent
point,sharp
company,group
company,organization
child,infant
right,reecho
right,left
job,work
right,left
job,task
mother,father
year,2011
question,ask
student,learner
business,cubicles
day,night
people,lonely
people,carrier
money,bags
fact,Indisputable
month,year
week,day
word,phrase
business,enterprise
mother,woman
word,text
number,count
group,meeting
number,count
people,masses
story,fable
state,mind
part,separate
people,folks
word,basic unit
people,are strange
business,none
book,read
part,particle
hand,arthritis
part,time
number,ten
money,loot
state,rights
hand,left
hand,fingers
group,ensemble
state,of war
book,tome
book,library
state,say
state,hood
story,teller
book,mark
state,of
hand,arm
hand,heart
child,baby
work,toil
school,education
case,box
issue,topic
man,woman
problem,no
room,key
system,complex
school,high
man,boy
family,mom
system,way
home,family
day,today
fact,idea
question,mark
life,viable
week,work
area,room
year,date
world,global
time,hour
work,achieve
week,paper
home,base
fact,true
student,learner
question,query
question,query
world,sphere
area,territory
year,age
fact,true
family,gathering
year,date
life,great
area,code
student,learn
month,day
family,dog
family,mom
family,kids
month,April
month,of days
eye,watch
eye,lid
month,day
family,parents
family,values
eye,ball
eye,vision
eye,glasses
eye,sight
eye,see
eye,I
eye,optical
year,age
eye,glasses
problem,child
lot,pound
money,talks
eye,ball
time,out
way,out
eye,ball
day,calendar
eye,Oculus
eye,brow
company,corporation
eye,catching
place,home
case,violin
issue,newspaper
way,path
company,corporation
child,adult
lot,amount
lot,chance
night,time
room,house
story,tale
woman,man
night,day
story,tale
water,ho
night,evening
story,fiction
story,tale
story,tale
story,tale
mother,mom
story,time
mother,father
mother,father
mother,father
mother,love
mother,father
mother,mom
mother,mum
mother,Teresa
mother,warm
mother,father
business,acumen
day,night
issue,stance
day,night
problem,worry
business,courses
group,gang
word,name
issue,tissue
point,finger
word,study
day,today
thing,penis
life,unique
day,light
business,occupation
issue,copy
place,fire
word,expression
life,death
system,systemic
word,name
life,living
child,kid
man,woman
issue,heir
issue,journal
life,death
point,out
word,idea
place,location
part,hair
problem,difficult
thing,item
system,way
word,name
number,many
problem,solver
man,hood
world,globe
group,people
problem,math
group,order
number,five
woman,man
work,career
problem,solve
work,labor
work,business
world,war
woman,man
world,earth
home,here
world,planet
work,day
home,family
work,aggravation
home,away from home
home,house
home,apartment
school,education
home,work
part,whole
money,cash
part,theater
week,days
school,book
child,little
fact,true
week,work
case,holder
job,jobless
company,business
job,employment
way,street or route
company,army
question,answer
child,kid
way,method
case,valise
time,ages
company,companions
question,mark
company,consolidated
company,guests
company,calling
way,manner
case,box
question,answer
time,watch
time,minute
time,now
time,hour
time,flies
system,decimal
water,liquid
place,plane
woman,body
book,read
water,wet
area,field
point,game
room,divider
people,folk
book,novel
system,down
place,home
right,OK
year,season
point,power
point,taken
lot,plot
number,count
student,pupil
month,year
student,young
year,end
woman,man
fact,truth
book,mark
man,trap
fact,fiction
number,amount
man,woman
place,site
fact,occurrence
place,location
right,good
number,statistic
money,green
place,people
fact,fiction
money,dollars
fact,item
money,cash
fact,truth
money,cash
year,annum
year,annual
money,enough
right,wrong
money,lucre
money,cash
thing,
thing,object
right,wrong
thing,object
thing,item
thing,object
thing,object
thing,each
thing,item
thing,some
school,law
thing,something
thing,gadget
thing,hair
thing,object
thing,stuff
people,friends
thing,object
night,darkness
area,sector
thing,item
room,enough
area,rural
lot,allotment
student,studying
country,south
week,time
room,chamber
school,bus
school,answer
night,darkness
group,support
group,association
week,seven days
student,one who is taught
month,day
lot,for
month,year
week,weak
area,place
country,state
area,measurement
room,space
area,circle
hand,foot
country,America
area,play
month,day
business,good
area,grass
month,year
lot,a lot
job,position
country,rural
business,enterprise
night,night
night,day
business,exercise
night,dark
hand,feed
hand,fingers
country,home
hand,play
business,model
business,school
job,fulfill
business,duty
job,work
country,open
business,activity
business,suit
job,employment
job,work
business,company
business,people
people,person
job,boring
group,several
part,section
life,death
question,ask
day,24 hours
state,proclaim
way,forward
day,sunrise
case,box
woman,female
system,analysis
world,earth
man,woman
man,woman
child,napper
question,why
man,woman
system,method
way,path
man,woman
man,attend
system,organization
day,night
world,earth
system,route
system,computer
question,answer
day,daylight
child,baby
day,light
child,baby
system,way
case,worker
case,jury
question,answer
system,complex
question,interrogate
system,computer
question,answer
question,ask
day,night
case,detective
question,argue
day,Sunday
child,tot
system,organization
case,survey
day,light
case,ligature
system,half
system,digestive
system,library
case,study
case,file
case,study
system,failure
system,dos
people,person
water,well
work,number
issue,problem
number,quantity
water,liquid
number,one
water,moisten
water,clean
number,one
work,labor
issue,fight
number,digit
water,lake
part,hair
part,of
problem,avoiding
number,quantity
part,whole
issue,take
water,eau
issue,born
number,runner
water,land
work,play
water,wet
work,play
part,section
problem,issue
water,earth
problem,difficulty
part,separate
number,one
problem,solve
work,labor
work,play
work,play
work,time
problem,solved
part,some
problem,worry
part,piece
work,effort
problem,challenge
problem,stuck
part,book
problem,question
part,leave
problem,trouble
part,piece
problem,equation
problem,math
part,piece
problem,solved
part,piece
part,whole
problem,solution
problem,solve
part,car
problem,issue
part,piece
part,engine
problem,solve
part,actor
problem,situation
problem,solution
home,healthy
part,separate
problem,solve
part,piece
home,comforts
life,existence
point,view
group,collaborate
family,parents
book,club
week,day
lot,acreage
family,friends
people,humans
woman,girl
lot,amount
home,house
lot,vacant lot
woman,man
family,wife
group,friends
week,work
lot,fate
week,seven
right,correct
group,party
group,games
people,person
group,herd
people,hate
family,values
right,left
right,wrong
word,langauga
word,verb
right,wrong
right,wrong
word,thought
word,process
right,mister
right,often
right,wrong
right,wrong
right,correct
right,relevant
right,left
right,rightist
right,direction
right,wrong
right,direction
right,on
right,away
right,wrong
right,left
right,correct
right,left
right,wrong
right,wrong
month,about 30 days
right,correct
company,guest
world,earth
company,friend
place,where
school,bus
book,reading
company,party
book,mark
room,bed
world,geography
life,vitality
company,friends
life,after
life,death
way,road
life,death
life,long
month,long
life,force
way,street
month,year
life,green
way,to
month,year
way,back
month,November
way,route
month,twelve
way,Appian
way,go
night,dark
student,neophyte
room,living
school,college
hand,palm
hand,manual dexterity
night,day
study,boring
woman,man
time,
night,good
time,flies
woman,girl
time,hour
night,day
room,space
study,long
time,flies
woman,female
school,teach
study,hall
story,bedtime
story,time
story,teller
story,teller
story,book
story,tale
country,tis of the
year,one
state,aver
place,spot
week,seven
year,one
country,United States
fact,datum
world,earth
place,town
fact,truth
state,exclaim
state,nation
student,learn
point,shoot
point,algebra
book,paper
point,pencil
student,child
student,undergraduate
book,worm
fact,truth
book,read
job,dog
point,direction
book,read
fact,science
fact,fiction
book,thought
job,market
job,work
book,read
fact,fiction
book,read
job,seeker
fact,matter
fact,fiction
book,enroll
fact,item
fact,false
job,well done
fact,fiction
job,work
book,binder
job,employment
fact,truth
fact,knowledge
fact,of life
book,mark
job,work
fact,actual
job,work
job,work
job,task
fact,fiction
job,money
home,sweet
child,middle
family,child
child,young person
lot,salt
money,launder
child,infant
man,woman
area,around
child,less
room,bed
lot,many
family,mum
man,dad
child,kid
man,homo
man,adult male
child,toddler
family,flock
man,woman
lot,group
money,cash
world,earth
lot,sale
money,cash
lot,parking
world,view
lot,whole
money,lucre
world,earth
year,day
home,house
year,days
country,political domain
place,home
home,house
group,think
school,smart
room,with a view
issue,problem
group,people
issue,children
company,visitors
school,Ecole
school,learn
woman,female
room,space
room,bed
issue,item
people,human
people,populate
country,landscape
woman,lady
room,apartment
room,bedroom
group,plain
issue,newspaper
group,friends
people,friends
woman,female
study,school
company,business
woman,female
group,number
study,hall
group,think
company,guest
group,scouts
study,paper
group,field
study,learn
study,learn
week,month
week,work
week,day
week,day
week,year
study,break
week,seven
study,break
week,today
study,learn
place,home
study,school
week,fifty-two
area,rug
study,read
week,work
week,seven
study,work
study,investigate
week,period
week,day
study,hard
day,night
week,work
study,break
day,night
week,days
student,loan
week,day
number,seven
week,seven days
hand,poker
week,bi
week,seven days
day,night
number,item
area,square feet
week,work
hand,signals
week,day
place,location
hand,left
number,digits
number,several
student,pupil
number,7
hand,write
night,evening
state,border
night,dark
state,say
state,New Jersey
state,the obvious
night,dark
state,verbalize
night,day
state,assert
mother,crazy
home,price
word,thing
mother,love
question,mark
country,pasture
question,answer
time,clock
family,love
home,family
year,time
year,birth
question,learn
family,brothers
country,bumpkin
time,clock
word,write
family,dynamic
word,association
country,nation
country,home
time,clock
time,clock
time,up
time,in a bottle
student,desk
school,education
company,firm
business,auspicious
school,days
school,uniform
water,ice
school,building
area,subject
business,contact
area,space
company,CEO
area,volume
business,corporation
school,books
water,lake
point,geometry
business,plan
business,today
life,live
point,pencil
money,bills
water,drink
life,matters
point,finger
point,finger
place,home
point,pixel
point,compass
money,greed
place,
life,
money,cash
point,pencil
money,root of evil
life,death
place,city
point,counter
life,death
point,my
place,home
money,job
money,cash
place,site
life,existence
place,time
life,cherries
place,time
money,time
place,put
money,currency
money,time
place,go
money,love
money,cash
money,value
water,life
money,cash
money,power
money,grubber
work,passion
money,wealth
work,labor
money,cash
money,cash
world,earth
money,corruption
money,cash
money,dollars
money,moult
money,currency
month,twelve
day,light
day,night
world,wide
home,house
day,daytime
month,nothing
day,night
day,night
month,time
home,family
work,slave
month,day
people,humans
mother,child
day,sun
month,menstruation
people,crowds
mother,love
month,time
month,January
year,time
mother,daughter
man,woman
people,humans
student,pupil
year,end
woman,"mary, mother of Jesus"
family,love
issue,child
family,nuclear
story,tell
family,love
student,child
year,to-date
room,doom
woman,female
student,work
way,road
question,query
way,where
issue,proclaim
room,space
hand,thumb
hand,foot
word,sentence
lot,much
word,deed
word,association
lot,building
lot,many
lot,playground
lot,many
world,earth
home,hacienda
man,hole
story,tale
man,woman
question,answer
home,house
world,globe
area,space
company,store
eye,see
area,locality
company,corporation
eye,vision
company,b
company,threes
home,plate
eye,ball
eye,see
mother,son
water,eau
child,little person
child,adult
number,counting
woman,female
way,my
country,land
room,bath
way,how
water,whale
question,answer
water,drink
room,bed
country,serene
number,letter
country,us
issue,come forth
work,study
country,US
water,lake
work,hard
woman,birth
case,court
case,sensitive
woman,female
student,learner
story,county
word,letters
question,why
business,busy
student,learner
year,month
