cue,R1,R1.Strength
fact,truth,0.153061224489796
community,hall,0.01
issue,magazine,0.14
year,of,0.01
research,journals,0.01
art,beauty,0.06
area,square,0.0606060606060606
man,boy,0.0202020202020202
lot,cattle,0.01
reason,understand,0.01
air,magic,0.01
problem,challenge,0.0404040404040404
war,death,0.07
result,goal,0.0202020202020202
number,one,0.202020202020202
thing,it,0.0204081632653061
kind,mothers,0.01
part,hair,0.101010101010101
face,visage,0.07
water,drink,0.0909090909090909
hour,glass,0.0606060606060606
money,make,0.01
system,nerves,0.0101010101010101
power,greed,0.01
point,pen,0.02
name,rose,0.0306122448979592
change,management,0.01
end,bottom,0.01
eye,catching,0.02
state,police,0.0101010101010101
word,association,0.0927835051546392
lot,plenty,0.03
air,breathe,0.29
company,visitors,0.02
night,owl,0.05
office,worker,0.03
book,read,0.42
part,slice,0.0202020202020202
hand,made,0.01
country,Australia,0.04
point,sharp,0.07
water,H2O,0.0404040404040404
head,headache,0.0204081632653061
time,table,0.0101010101010101
business,serious,0.01
state,mind,0.0303030303030303
school,kids,0.01
eye,patch,0.01
power,politics,0.02
month,August,0.01
parent,mum,0.05
way,far a,0.01
money,excitement,0.01
change,clothes,0.04
case,suitcase,0.05
health,wellbeing,0.08
city,town,0.31
member,committee,0.01
mother,mom,0.12
thing,dealing,0.0102040816326531
woman,female,0.22
body,human,0.04
study,books,0.08
family,friends,0.12
line,Coke,0.01
art,critic,0.01
research,methods,0.03
community,culture,0.01
reason,think,0.07
system,set up,0.0101010101010101
person,one,0.0102040816326531
service,public,0.02
face,beauty,0.02
job,Gob,0.0102040816326531
work,leisure,0.0101010101010101
home,ground,0.01
way,road,0.11
face,face to face,0.01
kind,generous,0.05
life,fulfillment,0.0206185567010309
city,New York,0.05
time,timetable,0.0101010101010101
story,tale,0.3
family,want,0.01
car,car seat,0.01
idea,concept,0.0505050505050505
body,type,0.01
work,ugh,0.0101010101010101
morning,hi,0.0101010101010101
door,open,0.19
game,baseball,0.03
water,running,0.0101010101010101
question,knowledge,0.0101010101010101
year,age,0.07
lot,many,0.09
force,powerful,0.0101010101010101
point,empty,0.01
mother,old,0.01
word,plagiarize,0.0103092783505155
fact,fun,0.0102040816326531
member,association,0.02
history,past,0.22
law,order,0.131313131313131
parent,trap,0.02
guy,handsome,0.01
group,out group,0.01
part,heart,0.0101010101010101
name,tame,0.0102040816326531
service,personnel,0.01
problem,no,0.0202020202020202
team,members,0.01
money,green,0.08
world,green,0.01
friend,best,0.05
change,confuse,0.01
side,dish,0.0309278350515464
eye,ball,0.2
issue,tissue,0.04
man,strong,0.0202020202020202
research,mr. Shane,0.01
body,parts,0.05
time,clock,0.212121212121212
air,sky,0.04
way,no,0.02
problem,dilemma,0.0101010101010101
people,culture,0.01
man,male,0.0606060606060606
world,earth,0.21
war,peace,0.19
door,handle,0.03
parent,dad,0.02
lot,allotment,0.02
kind,happy,0.02
end,final,0.07
city,streets,0.02
state,territory,0.0202020202020202
car,drive,0.09
back,forward,0.0808080808080808
line,straight,0.25
morning,evening,0.0404040404040404
force,physics,0.0202020202020202
level,up,0.02
game,awesome,0.01
water,daughter,0.0101010101010101
member,internet,0.01
point,guard,0.02
face,eyes,0.07
head,,
child,adolescent,0.02
person,circle,0.0102040816326531
school,circle,0.01
area,large,0.0202020202020202
law,justice,0.0101010101010101
issue,paper,0.01
right,correct,0.17
system,manager,0.0101010101010101
eye,see,0.15
service,fast-food,0.01
group,crowd,0.03
name,title,0.13265306122449
room,bed,0.101010101010101
work,out,0.0101010101010101
word,dictionary,0.0309278350515464
part,half,0.0202020202020202
service,friendly,0.01
home,heart,0.07
back,aback,0.0101010101010101
health,happiness,0.06
world,view,0.07
level,on,0.01
father,holy,0.01
life,long,0.0412371134020619
power,Kanya West,0.01
study,hard,0.06
community,organizer,0.01
law,,
person,nice,0.0102040816326531
body,fat,0.03
place,park,0.0102040816326531
research,read,0.01
case,closed,0.01
time,lose,0.0101010101010101
end,beginning,0.13
problem,class,0.0101010101010101
system,systematic,0.0202020202020202
team,sports,0.04
side,long,0.0103092783505155
area,59,0.0101010101010101
state,union,0.0202020202020202
city,urban,0.05
family,care,0.01
issue,matter,0.03
change,difference,0.02
moment,instant,0.02
morning,afternoon,0.0606060606060606
story,teller,0.05
friend,pal,0.09
force,push,0.101010101010101
people,friends,0.05
parent,guardian,0.02
hand,shake,0.02
job,crushing,0.0102040816326531
week,meek,0.01
night,all through the,0.01
car,penny,0.01
party,alcohol,0.02
way,direction,0.03
air,music,0.01
year,birthday,0.02
money,greed,0.02
member,belong,0.05
art,creativity,0.03
house,small,0.01
team,ball,0.02
side,mine,0.0103092783505155
home,here,0.04
point,click,0.03
air,cloud,0.01
change,replace,0.01
eye,candy,0.01
school,fun,0.02
group,fun,0.01
head,top,0.0918367346938776
child,mine,0.01
system,of,0.0101010101010101
office,cubicle,0.03
war,bad,0.03
company,alone,0.01
power,over,0.01
community,village,0.03
health,happy,0.03
service,social,0.01
area,Dublin,0.0101010101010101
law,break,0.0101010101010101
woman,wife,0.02
month,January,0.05
case,books,0.01
research,searching,0.01
mother,maternal,0.01
life,death,0.247422680412371
part,belong,0.0101010101010101
friend,love,0.02
guy,gal,0.16
time,is on my side,0.0101010101010101
father,figure,0.04
room,with a view,0.0303030303030303
car,auto,0.15
body,glove,0.01
word,salad,0.0103092783505155
country,native,0.01
book,text,0.01
thing,is,0.0102040816326531
line,fishing,0.03
face,nose,0.08
business,partner,0.01
area,map,0.0101010101010101
kind,sweet,0.04
member,relations,0.01
car,trouble,0.02
child,boy,0.04
history,lesson,0.06
place,locale,0.0102040816326531
line,VCR,0.01
reason,cause,0.04
force,comply,0.0101010101010101
health,check,0.01
eye,glasses,0.07
war,Iraq,0.01
result,findings,0.0202020202020202
hand,mouth,0.01
name,me,0.0816326530612245
idea,mind,0.0202020202020202
party,birthday,0.01
body,flesh,0.02
community,town,0.09
system,machine,0.0101010101010101
game,show,0.01
problem,solution,0.181818181818182
friend,foe,0.1
side,show,0.0103092783505155
country,tis,0.01
change,spare,0.01
back,behind,0.0404040404040404
city,populated,0.01
water,cool,0.0303030303030303
story,narrative,0.03
level,straight,0.03
room,living room,0.0101010101010101
point,finger,0.16
research,topic,0.01
moment,of,0.02
thing,action,0.0102040816326531
door,knob,0.08
team,player,0.14
guy,hot,0.01
night,sleep,0.05
case,upper,0.03
fact,finder,0.0102040816326531
service,dependable,0.01
law,legal,0.0505050505050505
month,date,0.01
time,tide,0.0101010101010101
people,watching,0.01
parent,adult,0.02
month,calendar,0.05
group,not alone,0.01
health,lifestyle,0.01
reason,season,0.04
student,debt,0.01
thing,one,0.0204081632653061
person,singular,0.0102040816326531
kind,type,0.14
change,Obama :,0.01
company,guests,0.04
place,stable,0.0102040816326531
office,boring,0.02
year,annual,0.07
minute,annual,0.01
line,queue,0.04
water,wet,0.0909090909090909
power,will,0.01
car,automobile,0.11
law,rule,0.131313131313131
country,field,0.02
way,foot,0.01
result,product,0.0606060606060606
state,jay-z,0.0101010101010101
hand,left,0.07
day,light,0.12
mother,mum,0.04
system,method,0.0202020202020202
job,search,0.0408163265306122
room,big,0.0101010101010101
house,sell,0.01
area,play,0.0202020202020202
member,society,0.03
money,love,0.02
guy,great,0.01
book,mark,0.05
art,colors,0.01
side,partner,0.0103092783505155
level,one,0.03
body,whole,0.01
part,section,0.0909090909090909
point,atlas,0.01
friend,tamagotchi,0.01
world,planet,0.04
back,spine,0.0606060606060606
family,parents,0.03
city,large,0.02
eye,sight,0.07
door,shut,0.03
lot,much,0.06
air,flight,0.01
history,globe,0.01
team,effort,0.01
work,travail,0.0202020202020202
man,yes,0.0101010101010101
system,organization,0.111111111111111
question,mark,0.141414141414141
result,answer,0.101010101010101
idea,fun,0.0101010101010101
air,light,0.01
family,love,0.12
work,horse,0.0303030303030303
world,round,0.03
study,learn,0.16
state,affairs,0.0101010101010101
body,long,0.01
area,confine,0.0101010101010101
law,pompous,0.0101010101010101
way,out,0.05
people,nations,0.01
research,science,0.06
child,infant,0.04
line,out,0.01
kid,goat,0.161616161616162
war,horrible,0.01
change,alter,0.13
night,stars,0.02
country,nationality,0.01
money,cash,0.26
power,source,0.01
morning,sunshine,0.0303030303030303
office,computer,0.01
history,knights,0.01
eye,nose,0.03
car,vehicle,0.09
friend,happy,0.01
team,players,0.02
water,good,0.0101010101010101
girl,pretty,0.01
name,Jessica,0.0102040816326531
force,army,0.0404040404040404
community,funds,0.01
door,go,0.01
health,training,0.01
student,eat,0.01
hand,arm,0.03
result,exam,0.0303030303030303
side,steak,0.0103092783505155
book,vocabulary,0.01
change,weather,0.02
body,mind,0.1
moment,wondrous,0.01
study,college,0.02
home,safe,0.02
time,early,0.0101010101010101
air,balloon,0.03
problem,conundrum,0.0101010101010101
money,dollar,0.04
guy,boy,0.03
thing,object,0.204081632653061
business,suit,0.03
number,things,0.0101010101010101
research,investigate,0.03
country,rural,0.03
art,sculpture,0.01
company,good,0.04
lot,whole,0.03
night,late,0.01
morning,sleep,0.0202020202020202
kind,sort,0.04
game,fun,0.08
part,one,0.0101010101010101
school,elementary,0.04
reason,rhyme,0.03
area,round,0.0101010101010101
work,hard,0.0808080808080808
woman,figure,0.01
back,to back,0.0101010101010101
state,representative,0.0101010101010101
right,handed,0.01
person,human,0.214285714285714
group,policy,0.01
level,upper,0.01
level,flat,0.09
level,floor,0.02
level,goal,0.01
level,set,0.01
level,wood,0.01
level,field,0.02
point,pencil,0.07
lot,auction,0.03
force,pressure,0.0101010101010101
service,secret,0.02
moment,now,0.1
car,boat,0.01
place,location,0.122448979591837
business,card,0.02
head,tails,0.0102040816326531
air,breath,0.08
time,sand,0.0101010101010101
name,last,0.0102040816326531
result,finding,0.0202020202020202
money,diner,0.01
word,noun,0.0309278350515464
work,shift,0.0101010101010101
question,puzzled,0.0101010101010101
water,sea,0.0101010101010101
office,career,0.01
case,need,0.01
line,drive,0.02
door,entry,0.05
book,bag,0.01
system,earth,0.0101010101010101
man,is,0.0101010101010101
people,places,0.04
body,heat,0.01
school,class,0.04
number,numeral,0.0101010101010101
community,neighborhood,0.07
health,important,0.01
power,failure,0.01
story,literature,0.01
country,USA,0.06
history,textbooks,0.01
side,vegetables,0.0103092783505155
side,hurt,0.0103092783505155
history,boring,0.01
history,memory,0.01
party,fun,0.17
area,location,0.0202020202020202
party,festive,0.02
change,evolution,0.01
idea,new,0.0404040404040404
body,bad,0.01
month,may,0.01
game,sport,0.03
state,empire,0.0101010101010101
area,arena,0.0101010101010101
line,chalk,0.02
morning,wake up,0.0303030303030303
group,friends,0.05
power,super,0.01
people,magazine,0.01
force,airplane,0.0101010101010101
number,math,0.0303030303030303
hand,foot,0.09
job,,
system,builder,0.0101010101010101
end,goal,0.01
power,physics,0.01
country,America,0.04
life,vibrant,0.0103092783505155
year,century,0.01
service,rendered,0.01
reason,logic,0.11
book,page,0.04
case,based,0.01
book,dusty,0.01
minute,minuet,0.01
school,field trip,0.01
guy,male,0.05
thing,anything,0.0204081632653061
art,avant-garde,0.01
room,full,0.0202020202020202
lot,a,0.05
moment,in the,0.01
room,of,0.0101010101010101
name,hello,0.0102040816326531
place,Chicago,0.0102040816326531
home,Thanksgiving,0.01
water,,
air,lungs,0.01
business,corporation,0.02
word,letters,0.0309278350515464
week,one,0.01
father,daughter,0.03
minute,sixty,0.01
door,entrance,0.04
head,hair,0.0714285714285714
health,exercise,0.01
area,math,0.0101010101010101
idea,guess,0.0101010101010101
service,full,0.01
point,pin,0.03
lot,lottery,0.02
study,desk,0.02
result,consequence,0.0303030303030303
fact,ascertain,0.0102040816326531
change,penny,0.01
war,fighting,0.02
end,finale,0.03
story,never ending,0.01
time,casual,0.0101010101010101
case,backup,0.01
student,academic,0.01
game,board game,0.01
team,lens,0.01
people,animals,0.01
system,computer,0.111111111111111
moment,this,0.01
school,read,0.01
company,corporation,0.09
family,Christmas,0.01
reason,no,0.01
country,nation,0.08
group,alone,0.02
group,gang,0.03
state,flag,0.0101010101010101
back,bone,0.0101010101010101
child,julianna,0.01
child,children,0.04
game,Jeu,0.01
community,tight knit,0.01
country,origin,0.01
face,base,0.01
part,incomplete,0.0101010101010101
party,hardy,0.04
friend,ship,0.04
people,suck,0.01
girl,hot,0.02
law,will,0.0101010101010101
hand,glove,0.04
city,London,0.06
office,hours,0.01
thing,pen,0.0102040816326531
book,rip,0.01
health,sick,0.01
guy,yo,0.01
lot,Jerusalem,0.01
world,everything,0.01
service,customer,0.05
case,legal,0.03
morning,star,0.0101010101010101
problem,solve,0.111111111111111
way,more,0.01
car,bus,0.01
person,whole,0.0102040816326531
body,image,0.01
time,management,0.0101010101010101
school,learning,0.02
reason,treason,0.02
area,career,0.0101010101010101
year,calendar,0.04
member,ship,0.04
member,staff,0.01
water,swim,0.0404040404040404
story,telling,0.05
back,go,0.0101010101010101
result,score,0.0303030303030303
room,temperature,0.0303030303030303
point,dot,0.03
moment,monument,0.02
system,protest,0.0101010101010101
right,on,0.04
body,corporate,0.01
thing,ring,0.0102040816326531
face,cream,0.01
car,crash,0.01
friend,indeed,0.02
room,solitude,0.0101010101010101
law,abiding,0.0303030303030303
door,frame,0.04
number,zero,0.0101010101010101
power,energy,0.04
state,South Carolina,0.0101010101010101
service,faith,0.01
point,blank,0.03
moment,one,0.04
line,up,0.02
art,music,0.03
air,supply,0.03
year,decade,0.01
business,personal,0.01
life,biology,0.0103092783505155
home,sweet,0.05
team,spirit,0.03
part,play,0.0202020202020202
school,yard,0.02
party,pinkie pie,0.01
hand,price,0.01
place,placate,0.0102040816326531
day,today,0.05
name,Jane,0.0102040816326531
side,,
kind,alike,0.01
world,small,0.03
family,tree,0.03
house,hunt,0.01
war,killing,0.02
word,write,0.0309278350515464
country,code,0.01
reason,yes,0.01
country,music,0.02
book,Facebook,0.01
book,tome,0.04
way,Jesus,0.01
member,take,0.01
line,geometry,0.03
lot,wood,0.01
health,wise,0.01
state,sovereign,0.0101010101010101
child,protect,0.01
people,husband,0.01
service,bowl,0.01
part,some,0.0303030303030303
head,jail,0.0102040816326531
part,pink,0.0101010101010101
night,bread,0.01
war,smoke,0.01
game,kids,0.01
man,human,0.0505050505050505
system,management,0.0101010101010101
person,property,0.0102040816326531
friend,ally,0.04
idea,think,0.0606060606060606
side,bar,0.0309278350515464
school,books,0.02
school,Valerie,0.01
group,picture,0.01
morning,noon,0.0505050505050505
party,celebration,0.01
art,color,0.02
time,rush,0.0202020202020202
back,chiropractor,0.0101010101010101
word,many,0.0103092783505155
study,library,0.01
body,of proof,0.01
office,space,0.05
place,New York,0.0102040816326531
business,accounting,0.01
water,lake,0.0606060606060606
case,pack,0.01
student,English,0.01
fact,check,0.0204081632653061
year,2011,0.03
home,hearth,0.04
city,lights,0.02
kind,gentle,0.14
kind,hearted,0.02
lot,an amount,0.01
number,digit,0.0606060606060606
health,benefit,0.01
force,dint,0.0101010101010101
story,ale,0.01
member,yesterday,0.01
country,United States,0.04
case,grammar,0.01
power,exponents,0.01
idea,thoughts,0.0101010101010101
idea,good,0.0404040404040404
house,apartment,0.01
book,reading,0.03
people,persons,0.07
city,sf,0.01
word,games,0.0206185567010309
company,hosting,0.01
line,dialogue,0.01
result,positive,0.0101010101010101
money,it's a gas,0.01
side,lateral,0.0412371134020619
door,window,0.14
hand,fingers,0.06
reason,thought,0.03
name,Barry,0.0102040816326531
history,ages,0.01
point,to point,0.01
person,to person,0.0102040816326531
way,cool,0.01
system,role,0.0101010101010101
moment,just a moment,0.01
state,united,0.0202020202020202
war,horror,0.03
minute,soon,0.01
place,here,0.0510204081632653
life,experience,0.0103092783505155
life,loving it,0.0103092783505155
head,master,0.0102040816326531
level,three,0.01
people,men,0.03
group,sex,0.01
word,definition,0.0103092783505155
number,23,0.0101010101010101
name,dropper,0.0102040816326531
side,road,0.0103092783505155
time,watch,0.0606060606060606
power,strong,0.05
work,challenge,0.0101010101010101
parent,mom,0.09
air,oxygen,0.08
hand,write,0.02
body,soul,0.05
question,query,0.0808080808080808
art,creation,0.01
world,wide,0.04
health,heart,0.01
moment,living,0.01
guy,men,0.01
system,spontaneous,0.0101010101010101
line,dash,0.01
person,like,0.0102040816326531
family,wife,0.02
face,palm,0.01
way,which,0.02
force,rape,0.0101010101010101
morning,bird,0.0101010101010101
year,off,0.01
car,port,0.02
city,bus,0.01
month,pay,0.01
case,trip,0.01
room,of one's own,0.0101010101010101
case,file,0.05
issue,edition,0.01
thing,stuff,0.0408163265306122
issue,give,0.04
thing,item,0.142857142857143
head,tail,0.0306122448979592
back,and forth,0.0202020202020202
thing,every,0.0102040816326531
minute,rice,0.01
story,up,0.01
group,collection,0.04
office,desk,0.09
water,liquid,0.111111111111111
number,cruncher,0.0202020202020202
problem,difficulty,0.0505050505050505
health,care,0.04
kid,just kidding,0.0101010101010101
service,restaurant,0.01
point,center,0.01
art,class,0.01
moment,movement,0.03
book,words,0.01
reason,sense,0.03
war,carnage,0.01
door,out the door,0.01
way,whey,0.01
man,fire,0.0101010101010101
guy,chair,0.01
people,human,0.04
life,birth,0.0103092783505155
party,hats,0.01
end,dead,0.03
study,abroad,0.01
money,devil,0.01
power,grace,0.01
power,electric,0.01
eye,sees,0.01
state,emergency,0.0101010101010101
kind,care bear,0.01
side,choose,0.0206185567010309
change,improve,0.01
child,hat,0.01
student,learner,0.15
body,corporal,0.01
night,fun,0.01
friend,acquaintance,0.02
hand,to mouth,0.02
part,parcel,0.0101010101010101
history,mystery,0.03
question,curiosity,0.0101010101010101
way,court,0.01
game,computer,0.01
team,horses,0.01
study,think,0.01
side,next,0.0515463917525773
kind,sentimental,0.01
result,test tube,0.0101010101010101
problem,oops,0.0101010101010101
state,awareness,0.0101010101010101
line,standing in,0.01
part,of a whole,0.0101010101010101
community,chest,0.01
night,crawler,0.01
office,the,0.03
art,drawing,0.03
child,young,0.03
research,inquire,0.02
father,voice,0.01
book,road deal,0.01
system,plan,0.0303030303030303
member,element,0.01
student,youngster,0.01
member,appendage,0.01
school,teach,0.02
case,of beer,0.01
group,many,0.02
lot,of,0.02
business,establishment,0.01
office,bureau,0.02
reason,science,0.02
eye,iris,0.04
power,lead,0.01
study,theory,0.01
woman,her,0.01
job,employment,0.0918367346938776
morning,daybreak,0.0404040404040404
state,smash,0.0101010101010101
side,screen,0.0103092783505155
side,swipe,0.0206185567010309
research,assistant,0.02
money,argent,0.01
moment,glory,0.01
line,pen,0.01
issue,bonds,0.01
life,living,0.0309278350515464
art,painting,0.16
history,science,0.01
body,legs,0.01
air,breeze,0.01
end,start,0.02
child,hood,0.01
hand,give,0.04
part,of,0.0404040404040404
work,labor,0.0606060606060606
country,Canada,0.03
word,language,0.0412371134020619
time,minutes,0.0101010101010101
law,and order,0.0303030303030303
friend,fast,0.01
party,dancing,0.01
moment,peace,0.01
car,pool,0.01
lot,building,0.02
year,1980,0.01
money,cunt,0.01
thing,noun,0.0306122448979592
woman,beauty,0.02
case,container,0.02
health,wellness,0.07
part,two,0.0303030303030303
system,of a down,0.0303030303030303
fact,opinion,0.0102040816326531
state,colony,0.0101010101010101
reason,faculties,0.01
service,industry,0.01
school,learn,0.07
book,reservation,0.01
force,make,0.0202020202020202
place,space,0.0204081632653061
question,question mark,0.0101010101010101
house,yard,0.01
study,hall,0.07
life,fly,0.0103092783505155
city,cityscape,0.01
game,ready,0.01
word,symbol,0.0103092783505155
hand,help,0.04
work,dishes,0.0101010101010101
history,Russian,0.01
member,parliament,0.01
change,nickel,0.01
name,nomenclature,0.0204081632653061
line,direct,0.01
research,enjoyable,0.01
point,see,0.02
office,building,0.02
way,one,0.02
air,err,0.01
party,hearty,0.06
school,sleep,0.01
art,meaning,0.01
business,occupation,0.02
body,torso,0.03
head,foot,0.0102040816326531
hour,wage,0.0101010101010101
country,road,0.01
problem,math,0.0303030303030303
money,rich,0.02
home,baby,0.01
year,x,0.01
room,closed,0.0303030303030303
game,plan,0.02
change,switch,0.02
girl,weak,0.01
mother,love,0.07
health,food,0.01
friend,gold,0.01
hand,hold,0.02
community,fun,0.01
woman,wily,0.01
side,next to,0.0103092783505155
time,off,0.0101010101010101
word,say,0.0103092783505155
fact,knowledge,0.0306122448979592
work,shop,0.0101010101010101
group,groupon,0.01
work,responsibility,0.0101010101010101
car,van,0.01
student,young,0.04
team,teamwork,0.01
minute,tiny,0.06
people,peeps,0.01
area,land,0.0202020202020202
system,error,0.0101010101010101
city,living,0.01
name,it,0.0102040816326531
system,analysis,0.0202020202020202
power,egotistical,0.01
week,days,0.04
power,hungry,0.05
kind,kin,0.01
water,fall,0.0303030303030303
kind,nature,0.01
eye,optics,0.01
book,language,0.01
father,paternal,0.01
kid,young,0.0202020202020202
issue,protagonist,0.01
team,swim,0.01
place,town,0.0306122448979592
back,pack,0.0101010101010101
community,live,0.02
room,view,0.0101010101010101
area,rug,0.0303030303030303
force,forceful,0.0202020202020202
car,accident,0.01
fact,of life,0.0204081632653061
body,curvy,0.01
law,immigration,0.0101010101010101
man,women,0.0101010101010101
history,geography,0.02
number,how many,0.0202020202020202
name,that,0.0102040816326531
thing,monster,0.0204081632653061
people,happiness,0.01
war,hate,0.03
friend,confidant,0.02
world,geography,0.02
school,college,0.03
morning,orange,0.0101010101010101
service,truck,0.01
year,Lear,0.01
state,late,0.0101010101010101
company,keep,0.01
change,different,0.05
case,square,0.01
research,library,0.01
house,music,0.01
reason,idiot,0.01
home,sleep,0.01
health,hospitals,0.01
part,,
side,square,0.0103092783505155
minute,late,0.01
line,vertical,0.01
art,draw,0.01
month,twelve,0.04
party,balloons,0.01
level,highest,0.01
face,mace,0.01
level,construction,0.02
end,the end of movie,0.01
member,club,0.07
change,wind,0.01
member,relationship,0.01
person,who,0.0102040816326531
reason,excuse,0.07
year,365,0.02
mother,did,0.01
power,control,0.01
school,homework,0.02
study,homework,0.03
history,American,0.02
book,dictionary,0.01
water,hydrate,0.0101010101010101
party,fiesta,0.02
city,San Diego,0.01
force,,
number,,
game,video game,0.01
kid,kiddo,0.0101010101010101
way,wheat,0.01
war,far,0.01
man,penis,0.0101010101010101
community,sister,0.01
thing,slim,0.0102040816326531
back,pain,0.0101010101010101
problem,trouble,0.0404040404040404
team,triathlon,0.01
house,roof,0.03
head,shoulder,0.0102040816326531
lot,a lot,0.02
service,good,0.03
name,Alex,0.0204081632653061
world,news,0.01
student,hardworking,0.01
body,exercise,0.01
result,grade,0.0101010101010101
room,ballroom,0.0101010101010101
reason,answer,0.01
hour,rush,0.0101010101010101
student,organization,0.01
lot,cars,0.01
friend,joy,0.01
world,ball,0.01
parent,love,0.04
hand,fingernails,0.01
kid,tot,0.0202020202020202
service,butch,0.01
back,yard,0.0101010101010101
place,destination,0.0102040816326531
water,ocean,0.0101010101010101
fact,detail,0.0102040816326531
problem,difficult,0.0303030303030303
change,Bowie,0.01
idea,brain,0.0202020202020202
air,lair,0.01
night,light,0.02
state,nation,0.0707070707070707
morning,breakfast,0.0101010101010101
side,choice,0.0103092783505155
thing,some,0.0408163265306122
point,foot,0.01
area,town,0.0101010101010101
face,smile,0.01
company,companion,0.01
year,abuse,0.01
girl,love,0.01
way,say,0.01
moment,momentous,0.01
money,wealth,0.03
business,empty,0.01
force,hit,0.0101010101010101
war,battle,0.06
hand,thumb,0.02
result,lab,0.0101010101010101
state,chemistry,0.0101010101010101
part,of my life,0.0101010101010101
morning,yoga,0.0101010101010101
word,list,0.0103092783505155
health,healthy,0.02
lot,little,0.02
game,mind,0.01
point,space,0.01
office,show,0.01
level,steps,0.01
idea,light bulb,0.0707070707070707
life,good,0.0103092783505155
area,perimeter,0.0303030303030303
study,sleep,0.01
work,tired,0.0101010101010101
door,stop,0.02
time,procrastination,0.0101010101010101
home,warmth,0.01
house,dog,0.01
head,understand,0.0102040816326531
change,hairstyle,0.01
people,lonely,0.02
parent,supportive,0.01
fact,true,0.0918367346938776
power,king,0.01
name,Richard,0.0102040816326531
service,servicable,0.01
line,border,0.01
month,November,0.04
question,ask,0.131313131313131
body,cavity,0.01
force,blunt,0.0101010101010101
air,wind,0.03
